cafe are on the premises 48
call any of the functions 141
call had to be answered 67
call her at the hospital 139
call her in the presence 40
call her on the intercom 94
call him at the hospital 136
call him by the nickname 144
call him on the intercom 58
call him to the attention 96
call him to the ministry 118
call him to the scaffold 228
call men to the ministry 134
call one of the agencies 85
call one of the children 147
call one of the functions 45
call one of the hotlines 101
call one of the servants 550
call one of the worthiest 83
call out in the darkness 175
call out of the darkness 69
call out to the audience 87
call out to the children 81
call out to the coachman 43
call out to the soldiers 51
call that to the attention 141
call them to my attention 108
call them to the attention 971
call them to the guidance 48
call this to the attention 1728
call was to the hospital 49
call you at the hospital 66
call you by the strongest 40
call you in the meanwhile 60
calm and in so brilliant 44
calm and the sea tranquil 69
came for me to graduate 48
came for us an equipage 122
came for us to continue 41
came for us to separate 55
came near to the handsome 44
came not in the earthquake 55
came not to the assembly 98
came now to be regarded 111
came off in the presence 46
came off in the struggle 105
came off to the spaniards 80
came one of the generals 68
came one of the strangest 153
came one of the strongest 42
came one to me seriously 72
came out as an advocate 48
came out as an opponent 55
came out as the strongest 140
came out at the aperture 89
came out at the entrance 43
came out at the opposite 136
came out at the shoulder 202
came out by the hundreds 73
came out by the minister 99
came out by the thousands 153
came out in an american 81
came out in an anguished 41
came out in an editorial 233
came out in an explosion 49
came out in the american 262
came out in the analysis 62
came out in the atlantic 394
came out in the corridor 72
came out in the darkness 78
came out in the daylight 51
came out in the december 98
came out in the direction 46
came out in the eichmann 61
came out in the eighties 61
came out in the evidence 419
came out in the february 61
came out in the magazine 250
came out in the november 65
came out in the original 60
came out in the presence 55
came out in the saturday 51
came out in the strongest 48
came out in the struggle 45
came out in the sunlight 58
came out in the sunshine 137
came out in the thirteenth 66
came out in the twilight 101
came out in the verandah 72
came out in the washington 41
came out of an adjacent 95
came out of an alleyway 59
came out of an american 210
came out of an elevator 68
came out of an interest 45
came out of it unharmed 257
came out of it unscathed 303
came out of my collapse 78
came out of my interest 53
came out of my solitude 85
