calf child 48 call stock 211
calm happy 72 came large 69
came house 108 came large 58
came small 93 came rather 79
came strong 94 came tough 63
came woman 51 came could 42
came small 43 came shock 907
came level 48 came point 144
came stand 170 came tight 95
came place 49 came small 138
came curve 50 came pinch 150
came sheet 544 came close 42
camp whole 105 card state 305
card trick 114 care place 147
care whole 196 care major 45
care right 406 care share 450
care model 48 care whole 3358
cars crawl 74 cart dwarf 54
cart horse 455 cart small 41
case class 63 case class 247
case house 43 case child 400
case false 131 case woman 406
case model 53 case warning 102
case warning 74 case judge 46
case warning 72 case point 158
cash check 177 cash share 153
cast small 191 cast world 198
cast place 191 cast short 75
cast place 71 cast small 276
cast storm 81 cast storm 95
cast small 70 cast cloud 67
cell cause 106 cell group 45
cell phase 128 cell small 62
cent dozen 207 city could 68
city daily 150 city large 95
city major 113 city paper 40
city small 43 city whole 115
city major 69 city place 107
city plain 108 city broad 108
city plain 144 city rocky 43
city small 46 city whole 102
clad woman 48 clad money 92
clad shirt 52 clay woman 95
clear change 45 clear whole 40
clear bugle 40 clear stream 69
clot blood 147 club group 56
coal given 47 coal power 47
coal dirty 132 coat black 45
cock globe 70 code model 59
coho cause 66 coin legal 79
cold river 51 come coach 49
come human 106 come leader 168
come phony 116 come rather 68
come strong 201 come total 48
come woman 56 come novel 193
come savior 48 come shock 205
come point 130 come stand 103
come could 49 come point 43
come small 70 come throne 197
come state 47 come frock 44
come could 42 come close 110
come pinch 621 coming shady 52
coming point 132 coming legal 47
coming pinch 61 cool house 91
cool brook 50 cool stream 53
cord point 65 core child 129
corn field 61 coup group 41
cream large 296 cream small 158
cream bagel 381 cream slice 42
crew fishing 47 cube glass 114
cube glass 85 cure could 93
