call again some other day 52
call jesus made some mud 91
call might look like this 216
call people from among all 273
call people rich when they 277
call would look like this 115
came about five years ago 736
came about just what they 135
came about many years ago 58
came about some years ago 45
came about three years ago 156
came about when there was 98
came again into their own 63
came dashing into camp with 64
came every post thick and 44
came fresh from hell with 84
came fully into their own 200
came gliding down upon her 51
came hither from their own 47
came pouring down upon him 170
came pouring down upon them 125
came right down from his 72
came right down over his 95
came rolling down upon them 48
came running back from his 45
came running down from her 50
came running down from his 74
came running into camp with 49
came running over from his 42
came rushing back into her 120
came rushing back into his 94
came rushing back upon her 84
came rushing back upon him 88
came rushing down upon her 74
came rushing down upon him 91
came rushing down upon them 151
came sailing down upon him 46
came under fire from all 198
came under fire from both 476
came under fire from his 155
came under fire from its 53
came under fire from one 89
came under fire from two 298
came under heavy fire and 878
came under heavy fire for 284
came within their reach and 61
cane about four feet long 130
cane about three feet long 75
cane sugar from cuba and 41
caps drawn down over our 41
caps drawn over their ears 47
card might look like this 184
card would look like this 122
care about much more than 99
care about nothing else but 42
care about nothing more than 57
care about their health and 320
care about their jobs and 251
care about their well being 86
care about their work and 487
care about your health and 226
care about your wife and 43
care about your work and 130
care could have seen and 115
care might prey upon our 47
care needs have been met 125
care where your wife goes 47
cars which were used for 52
case anything went wrong and 113
case anything went wrong with 295
case could have been put 78
case could have been won 65
case might have been due 57
case might have been had 47
case might have been one 69
case might have been put 44
case might have been that 50
case might have been with 52
case might have come out 134
case might look like this 49
case study will give you 48
case study will help you 77
case study will show how 122
case study will show that 105
case where there were two 519
case which bears upon this 45
case which some time ago 47
case would have been any 44
case would have been easy 50
case would have been far 691
case would have been for 158
case would have been had 84
case would have been met 67
case would have been one 297
case would have been that 473
case would have been too 123
case would have been won 44
case would have come out 400
case would have meant that 125
case would look like this 66
