cares into your friendly bosom 57
carry very high interest rates 57
cases have been diagnosed since 46
cases have been mentioned where 41
cases have been observed after 93
cases have been observed since 86
cases have been observed where 819
cases have been observed which 133
cases have been recorded since 140
cases have been recorded where 1180
cases have been recorded which 211
cases have been reported after 366
cases have been reported cured 115
cases have been reported showing 73
cases have been reported since 1245
cases have been reported under 217
cases have been reported where 3125
cases have been reported which 622
cases have been reported within 137
cases like those mentioned above 204
cells have been isolated which 44
cells have been observed within 50
change from their original state 112
change into more suitable clothing 99
charm many more juvenile faces 64
chief must have attended thrice 43
chins upon their clenched hands 132
civil life from military trials 164
color will meet ordinary legal 53
costs when making decisions about 66
could ever have imagined anything 45
could ever have imagined would 54
could ever have obtained leaves 48
could find some suitable place 41
could have been achieved after 45
could have been achieved easily 56
could have been achieved either 237
could have been achieved given 84
could have been achieved under 497
could have been achieved while 45
could have been achieved within 175
could have been achieved would 59
could have been acquired under 61
could have been admitted under 125
could have been answered easily 52
could have been anywhere within 90
could have been attained under 145
could have been captured easily 45
could have been confused about 67
could have been deducted under 60
could have been deferred until 88
could have been detained under 61
could have been detained while 56
could have been effected under 87
could have been effected which 47
could have been effected within 41
could have been employed which 55
could have been enforced under 44
could have been entirely happy 47
could have been excluded under 48
could have been expected after 649
could have been expected based 48
could have been expected either 44
could have been expected given 173
could have been expected seems 50
could have been expected since 129
could have been expected under 1164
could have been expected where 58
could have been imported either 217
could have been included under 276
could have been included within 152
could have been increased still 52
could have been informed about 70
could have been inserted after 55
could have been mistaken about 586
could have been obtained after 49
could have been obtained based 60
could have been obtained easily 117
could have been obtained either 239
could have been obtained quite 52
could have been obtained under 770
could have been obtained which 41
could have been obtained within 189
could have been obtained would 44
could have been possible under 188
could have been possible within 40
could have been probably saved 49
could have been produced after 46
could have been produced either 281
could have been produced under 277
could have been produced which 80
could have been produced within 162
could have been properly drawn 91
could have been properly given 54
could have been provided under 70
could have been provided within 42
could have been punished under 212
could have been remedied easily 47
could have been required under 51
could have been resolved easily 73
