cake of white between the 40
call in every attempt to 78
call it quits because of 46
call on every citizen to 135
call on large numbers of 205
call the above equation the 53
call the class together to 55
call the first chapter of 40
call the first element in 43
call the first epistle of 74
call the first epistle to 63
call the first variable the 93
call the group together to 63
call the hindu religion is 94
call the local chamber of 134
call the local chapter of 162
call the moral problem of 43
call the moral quality of 155
call the negro problem is 87
call the people together at 60
call the people together by 189
call the people together in 211
call the people together on 71
call the people together to 509
call the period between the 128
call the phone company to 163
call the power company to 163
call the shape present in 46
call the space between the 91
call the thinking faculty in 52
call the whole country to 76
call the whole history of 47
call the whole process of 51
call to action against the 268
call to fight against the 253
call to jihad against the 68
call to march against the 52
call up large numbers of 49
calm he veils himself in 47
came he found himself in 46
came in close contact in 42
came in growing numbers to 64
came in large numbers as 212
came in large numbers at 71
came in large numbers in 262
came in large numbers on 45
came in large numbers to 3099
came in large parties to 46
came in sight because of 83
came in sight galloping at 44
came in sight outside the 72
came in small numbers to 109
came in strong patches of 92
came on apace towards us 194
came on board according to 90
came on stage dressed in 41
came so close together as 150
came the brain averaging as 44
came the clash between the 80
came the cleft between us 50
came the faint clatter of 55
came the faint strains of 113
came the fatal decision to 60
came the final triumph of 61
came the first attempt at 88
came the first attempt to 235
came the first division of 59
came the first efforts to 56
came the first flicker of 44
came the first glimmer of 117
came the first glimpse of 91
came the first invasion of 45
came the first reports of 210
came the first rumblings of 102
came the first stirrings of 198
came the first twinkle of 65
came the merry maskers in 81
came the rolling clatter of 146
came the sharp crackle of 48
came the sharp reports of 161
came the sharp whistle of 41
came the split between the 68
came the steady current of 147
came the sweet strains of 83
came the whole journey to 64
came to apply himself to 49
came to blows because of 41
came to blows between the 41
came to class dressed in 60
came to court because of 41
came to court because the 41
came to court dressed in 46
came to eight talents of 74
came to exist because of 46
came to exist between the 376
came to fight against it 40
came to fight against the 303
came to gather together the 65
came to grief against the 148
came to grief because he 211
