cage drawn by three pair 73
cake about an inch thick 59
calf below the sore knee 49
calf seems to have been 66
call about the same time 238
call again in three days 69
call again the next week 40
call again to their mind 141
call first to make sure 659
call might be made upon 44
call often in park lane 41
call option is worth more 139
call people by their last 45
call people by their name 87
call seems to have been 158
call seems to have come 54
call shall be made upon 43
call which is made upon 79
call within the next week 147
call would be made upon 64
calm seems to have been 99
calm under the most trying 104
came about an hour late 105
came about in many ways 49
came about in other ways 52
came about in part from 157
came about in some such 43
came about in those days 112
came about in three ways 99
came about me like bees 138
came about the same time 2345
came after he went into 42
came after the great fire 44
came again in full view 127
came close to bringing down 78
came close to losing their 177
came close to making such 42
came close to taking over 195
came close to tears when 53
came close to their camp 40
came easily to their lips 55
came first or last into 78
came first to hand having 73
came hither to pass away 102
came nearer the mark when 98
came nearer the truth when 221
came nearer to having peace 53
came often to pour into 40
came often to weep upon 45
came pouring in from many 66
came pouring in from other 85
came quite as much from 83
came right on back like 49
came round at last when 69
came round in three days 42
came round the bend into 67
came round the last bend 140
came round the last turn 41
came round the other side 139
came round to look over 82
came round to take miss 50
came running in from play 65
came running in from their 50
came running on three legs 95
came running to know what 85
came running to take their 42
came rushing in full tide 87
came seems to have been 118
came thither he made nothing 64
came thither to make salt 195
came thither to make their 51
came under my care during 86
came under my care some 178
came under my care when 43
came under the heavy fire 106
came under the same heading 149
came under the same kind 99
came under the same roof 63
came under the same rule 110
came under the same sort 42
came under the single rule 44
came while we were away 67
came while we were gone 41
came while we were having 57
came while we were there 398
came within the full view 41
came within the next five 42
camp about the same time 219
camp could be seen from 64
camp group of young boys 127
camp might be among these 51
camp seems to have been 294
camp where he kept most 41
camp which we fell back 87
camp while we were gone 46
cane seems to have been 58
canoe known to have been 55
canoe seems to have been 54
cape seems to have been 40
card seems to have been 72
