capital noisy 54 capital child 43
captain major 65 captain fancy 42
capture given 107 carried lapse 43
carried period 162 carried short 66
carried cloak 48 carried grant 554
carried guard 40 carried joint 71
carried large 51 carried light 85
carried local 177 carried short 43
carried state 173 carried stream 45
carried broad 76 carried fixed 249
carried given 252 carried group 75
carried large 53 carried legal 63
carried period 502 carried short 518
carried small 74 carried social 136
century period 78 century small 53
certain given 41 certain horse 44
certain short 59 certain short 160
certain could 49 certain might 48
certain would 130 chapter might 42
chapter brief 77 chapter brief 340
chapter broad 59 chapter broad 73
charged cross 69 charged breach 57
charged motor 327 charged check 49
charged house 139 charged watch 44
charged black 92 charged white 248
charged black 42 charged horse 336
charged large 45 charged piece 41
charged purse 56 charged slave 85
charged watch 162 chatted while 384
circles while 81 collect harem 53
command dialog 48 compact piece 85
company while 300 company large 54
company large 73 company strong 45
company large 67 company right 120
company legal 48 company dozen 305
compute table 173 confirm papal 49
consuming could 58 contend state 53
content charm 235 content story 54
control scene 47 council large 55
counsel motion 48 country longer 40
country while 291 country serve 57
country quota 66 country state 121
country treaty 44 couples child 89
courage house 82 courage first 59
covered period 51 covered dozen 133
creature sobbing 41 creature farthing 99
criteria child 56 critics throne 47
critics growing 56 current large 93
