cadres fall roughly into the 59
called down blessings upon the 135
called down vengeance upon the 51
called evil spirits upon the 81
called forth lazarus from the 80
called forth replies from the 46
called from halfway down the 45
called from private life to 87
called into perfect life the 57
called into question during the 601
called into question early in 41
called into question even as 43
called into question even by 109
called into question even in 45
called into question even the 83
called into question from the 223
called into question here is 122
called into question just as 49
called into question many of 763
called into question most of 86
called into question much of 340
called into question only by 71
called into question over the 158
called into question some of 933
called into question when an 49
called into question when he 189
called into question when it 264
called into question when the 586
called into question when we 161
called into service during the 307
called into service from the 145
called into service only in 72
called into service when the 106
called their private room the 40
called three marines from the 40
called upon johnson during the 57
cancer risk factors such as 93
candid mind entered into the 45
canned meats brought from the 51
cannon ball carried away the 153
cannon ball crashed into the 40
cannon shot between some of 40
cannon shot distant from the 108
cannon were brought from the 96
cannon were emptied from the 43
cannon were planted during the 57
cannon were removed from the 407
cannon were trained upon the 45
carbon atom farthest from the 117
carbon atom removed from the 63
carbon were released into the 41
cardiac risk factors such as 247
cardiac vein oblique vein of 47
caress those bishops whom he 82
carrying heavy objects such as 42
carved deep valleys into the 44
carved their initials into the 154
castings here ejected were as 50
cattle were brought back to 48
cattle were brought from the 135
cattle were brought into the 313
cattle were carried away by 72
cattle were divided among the 51
cattle were removed from the 186
cattle were shipped from the 97
caused deep concern among the 78
caused great anxiety among the 303
caused great concern among the 564
caused great concern over the 50
caused great jealousy among the 40
caused great murmurs among the 74
caused great rejoicing among the 351
caused great scandal among the 157
caused great suffering among the 326
caused much anxiety among the 228
caused much bickering among the 109
caused much comment among the 105
caused much concern among the 267
caused much grumbling among the 78
caused much jealousy among the 47
caused much murmuring among the 198
caused much rejoicing among the 148
caused much suffering among the 704
caused much trouble among the 60
caused much trouble during the 70
caused side effects such as 50
caused some anxiety among the 341
caused some comment among the 61
caused some concern among the 345
caused some concern over the 53
caused some grumbling among the 85
caused their removal from the 63
causes from effects till we 192
causes milk ejection from the 52
causes side effects such as 320
causes such ravages among us 60
causes were removed from the 65
center their efforts upon the 48
center will qualify only if 52
chains were removed from the 80
