cafe open 58 cage tied 40
cage mice 40 call their 53
call come 40 call hold 49
call when 161 call tame 41
call till 49 call into 90
call from 97 call puck 129
calm down 110 calm mien 74
came coming 45 came next 69
came went 53 came only 124
came from 106 came unto 54
came into 40 came away 94
came among 51 came into 41
came till 129 came from 155
came into 166 came speak 40
came when 42 came what 579
came taking 51 came away 228
came down 115 came upon 80
came leaning 41 came next 148
came over 53 came there 369
came upon 52 came have 48
came door 83 came door 102
came when 41 came sail 51
came hope 40 came into 114
came dark 45 came have 398
came have 1398 came have 421
came been 42 came from 133
came from 78 came flag 66
came from 254 came full 53
came from 64 came army 214
came rent 41 came from 225
camp have 53 camp news 66
camp army 47 cane hand 86
canoe back 59 card seek 81
card wait 41 card hand 43
care shew 60 care beings 72
care their 161 care their 159
care their 160 care over 724
care from 82 care during 136
care when 87 care need 125
care during 158 care when 135
care need 170 care ones 73
care during 42 care when 43
care need 110 care ones 303
care their 141 care their 244
care their 156 care dust 66
care your 83 care their 44
care your 128 care what 172
care their 774 care what 126
care give 40 care have 161
care give 56 care have 333
care were 164 care nothing 45
care have 45 care have 108
care meet 87 care have 310
care have 135 care over 45
care feel 89 care have 1104
care give 178 care have 44
care like 92 caring their 50
caring their 56 caring during 41
caring ones 40 caring during 46
caring need 77 caring ones 66
caring will 64 cars from 53
cars have 41 cart tied 50
case such 136 case were 66
case unto 307 case have 40
case these 49 case when 44
case from 164 case away 56
case here 87 case when 51
case from 143 case here 42
case into 78 case much 40
case body 62 case were 61
case been 86 case been 89
case theory 127 case hand 104
case have 83 case beings 90
case been 63 case been 131
case been 50 case been 40
case have 48 case have 42
case have 92 case soon 71
case have 63 case like 40
case nothing 52 case free 97
case from 57 case have 66
case upon 122 case upon 55
case upon 43 case such 47
case beings 50 case hand 53
case hand 60 case beard 46
case life 46 cash furs 89
cask need 62 cast upon 99
cast upon 388 cast upon 72
cast list 62 cast into 171
cast over 42 cast upon 80
cast from 67 cast over 47
cast down 85 cast away 42
cast from 53 cast wife 44
cast whom 148 cast life 40
cats mice 40 cease into 69
cell cell 196 cent their 42
cent rate 89 cent have 47
chap have 65 chat what 110
chat their 384 chat what 51
chat your 380 chin finger 145
chin hand 154 chin hand 51
chin finger 480 chin hand 674
chop hand 350 city been 45
city were 70 city from 118
city have 110 city were 295
city will 61 city were 49
city life 64 city were 58
city tell 53 city take 45
city into 109 city been 99
city been 44 city were 56
city been 52 city seen 168
city birth 111 city from 56
city been 147 city from 74
city like 42 city from 67
city been 106 city been 41
city from 61 city like 73
city seen 92 city over 40
city army 147 city from 44
clad were 81 clap upon 44
clean clean 58 clean acts 348
clean have 69 clean laws 258
clean were 46 clean tube 44
clean have 45 clear been 49
clear been 44 clear soup 41
clear what 76 clear hand 98
clear heart 101 clear heart 74
clear hand 175 clear heart 85
clear will 121 clear what 46
clear have 161 clear have 86
clear have 92 clear have 57
clear work 88 clear come 199
clear wind 105 clear like 47
clear wish 53 clear plot 223
clear beings 139 clear must 40
clear have 60 clear were 274
clear duty 50 clear were 42
clear were 171 clear were 130
clear kind 46 clear have 70
clear have 158 clear want 70
clear task 55 clear meant 52
clear have 151 clear only 54
clear what 40 clear fred 80
clear have 56 clear very 75
clear nothing 43 clear give 46
clear have 994 clear help 83
clear like 187 clear make 54
clear need 122 clear only 114
clear soon 114 clear take 84
clear also 58 clear have 603
clear make 62 clear only 284
clear take 52 clear have 152
clear also 92 clear come 66
clear fail 45 clear feel 46
clear find 61 clear give 105
clear have 5579 clear help 43
clear hold 70 clear keep 44
clear leave 49 clear like 309
clear lose 55 clear make 141
clear need 184 clear only 297
clear seek 61 clear soon 165
clear stay 50 clear stop 40
clear take 244 clear veto 40
clear vote 104 clear work 52
clear will 47 clear will 50
clear have 63 clear only 270
clear will 40 clear will 43
clear will 107 clear have 45
clear will 50 clear will 44
clear will 84 clear also 49
clear come 53 clear have 664
clear make 58 clear only 67
clear take 74 clear have 85
clear want 46 clear have 123
