cabin sturdily 65 canon contract 60
cards domestic 40 cared families 42
carry execution 40 carry execution 43
carry execution 621 carry operation 113
carry execution 521 carry execution 220
carry execution 45 carry execution 53
carry execution 57 carry execution 225
carry execution 72 carry execution 58
cases occurred 116 cases otherwise 40
cause produced 82 caves shelters 52
cells patients 40 cells clusters 65
cells pediatric 56 cells observed 54
cents traveled 51 change security 143
change directly 66 change confetti 68
change sensation 44 change occurred 57
change happened 77 change occurred 363
change affected 85 change occurred 786
change required 109 change resulted 178
change possible 47 chaos resulted 144
chest vibration 41 child services 58
child estranged 229 civil followed 113
civil followed 76 civil occurred 66
civil resulted 91 claim admitted 59
claim disputed 71 claim seriously 43
class movement 606 class numerous 56
class numerous 44 climb yourself 43
clock accurate 54 cloning homology 55
cloning sequence 294 close garments 55
clothe families 126 coals segments 93
coats trousers 51 coats neckties 41
codes residues 40 comes strikingly 47
copying dictation 105 cords vibration 57
costs incurred 91 costs occurred 116
costs otherwise 76 costs resulted 74
costs incurred 48 could executed 51
could produced 41 could received 58
could happened 44 could distance 63
could persuade 40 could audacious 45
could publishing 52 could children 72
could produced 86 could recourse 74
could attention 48 could treatment 60
could execution 108 could attitude 68
could situation 41 could happened 93
could expenses 60 could veracity 57
could acquired 48 could believed 74
could foreseen 46 could forgiven 166
could happened 40 could obtained 70
could occurred 65 could replaced 107
could pictures 53 could business 122
could communion 62 could relations 111
could separate 45 could pressure 48
could attention 46 could concrete 159
could liability 114 could services 41
could generous 53 could identity 65
could ancestry 42 could enthusiasm 68
could children 57 could believed 215
could expected 123 could happened 303
could straight 124 could enthusiasm 84
could problems 63 could problems 445
could problems 342 could problems 47
could children 50 could treatment 95
could presence 43 could authority 79
could garments 122 could ancestry 115
could dictation 44 could mistakes 66
could convince 45 could luxurious 69
court proceeding 64 court evidence 77
court evidence 44 court officers 43
court judgment 221 court confusion 88
crabs likewise 45 creaking cisterns 99
cries constant 56 cries terrible 60
cries comrades 46 crops villages 40
crops downward 119 crown accepted 82
curse befallen 44 curve resulted 68
cutting fiercely 98 cycle oxidation 179
cycle synthesis 43 cysts commonly 47
