call into vigorous action the 202
call their children after the 51
call those entities which we 44
call your attention again to 1278
call your attention first to 195
call your ramparts might be 92
came even remotely close to 158
came from families headed by 105
came from families where no 42
came from families where the 705
came from indirect taxes on 46
came from opposite sides of 267
came from scotland about the 48
came into currency after the 45
came into operation about the 83
came into operation after the 270
came into operation under the 107
came into practice after the 48
came more directly under the 353
came more properly within the 82
came most directly under the 41
care nothing whatever about the 156
case fell directly within the 100
case fell squarely within the 128
case fits squarely within the 64
case said premises shall be 51
case such proceeds shall be 69
case such relative lives on 49
case those dominions could be 44
case will probably never be 91
cash flow analysis based on 119
cast their bootless fires to 45
cast their flickering light on 41
cell type specific genes in 103
cell wall proteins toxic to 61
cent were children under the 57
clinging like mountain pines to 44
cloth coat strapped round the 59
club cars operated daily in 203
come back tomorrow morning at 113
come back tomorrow morning to 106
come even remotely close to 345
come from anywhere within the 147
come from cultures where the 92
come from detailed study of 44
come from families below the 70
come from families headed by 78
come from families where at 95
come from families where the 1866
come from families which do 46
come from opposite sides of 373
come here tomorrow morning at 45
come into conflict about the 47
come into conflict within the 86
come into currency until the 50
come into operation after the 546
come into operation shall be 112
come into operation since the 114
come into operation under the 141
come into operation until an 123
come into operation until it 420
come into operation until the 2280
come into operation within the 165
come into sharpest focus in 42
come more directly under the 238
come more directly within the 67
come more numerous cases in 49
come more properly under the 438
come more properly within the 157
come most properly within the 40
come when darkness shall be 129
coming from families where the 46
coming from opposite sides of 417
coming into operation after the 1064
coming into operation shall be 59
coming into operation until the 88
coming more directly under the 57
coming more properly under the 45
