cake made of glutinous rice 65
call from an emergency room 53
call from the brokerage firm 41
call from the emergency room 692
call from the neglected gods 57
call over the banisters when 40
calm flow of moonlight over 71
came along the starboard side 56
came back to periscope depth 192
came down by agreement from 41
came down the hierarchy from 46
came down the staircase from 65
came during the depression years 57
came during the napoleonic wars 147
came from an extremely poor 109
came from the blacksmith shop 42
came from the communist bloc 53
came from the emergency room 61
came from the neighboring town 102
came from the political left 411
came from the starboard side 89
came from the surrounding areas 142
came from the uttermost part 83
came home at christmas time 68
came into my possession during 84
came into my possession from 157
came into my possession many 55
came into my possession some 180
came into my possession when 106
came into the committee room 87
came into the courtyard from 41
came into the emergency room 813
came into the intensive care 40
came into the interview room 171
came into the limelight during 112
came into the limelight only 40
came into the limelight when 182
came into the political life 52
came into the principal door 42
came into the spotlight when 59
came into the territory from 111
came like an avalanche upon 42
came over the mountains from 694
came over the mountains half 101
came over the mountains into 113
came over the telegraph wire 43
came over the telephone from 121
came over the telephone line 65
came upon an abandoned camp 52
came upon the prostrate form 57
camp must of necessity come 65
care during the preschool years 173
care must be exercised during 2002
care must be exercised even 110
care must be exercised here 340
care must be exercised lest 1920
care must be exercised over 268
care must be exercised when 12764
care play an important role 132
care unit or emergency room 117
care unit or intensive care 117
care what the neighbors think 313
care will be available when 50
cars sold in california must 42
case during the formative years 43
case during the napoleonic wars 41
case from the knowledge even 81
case must be different from 53
case there is generally some 64
case there is sometimes room 46
case will be dependent upon 129
case will be different from 125
case will be discussed here 118
case will be discussed more 122
case will be discussed next 41
case will be presented here 82
cash flow is different from 58
cash will be available when 143
cast down an imaginary pair 81
cast into an inductive form 91
cast into the everlasting fire 127
cast iron is converted into 243
cast iron is generally used 113
cast iron is sometimes used 136
cast lots to determine upon 109
cast upon the multitude such 290
cell line is available from 54
cell must be separated from 43
cell play an important role 57
cell will be different from 43
cent during the depression years 66
city from the surrounding areas 43
city will be delivered into 42
city will be destroyed when 43
clay from the millstone grit 99
clay will be impressed most 49
clean bill of political health 201
clean bill of spiritual health 67
clear from the available data 522
clear from the discussion here 71
