vacant or pensive mood 71
vacate the capital prior 40
vacate the marital home 69
vacate the pleasant nest 55
vacuum in northern iraq 60
vacuum is applied during 42
vacuum is applied from 58
vagina is derived from 267
vagina is divided into 106
vainly the greatest part 51
vainly to dismiss from 50
vainly to imagine what 63
vainly to stretch forth 64
valley in ancient days 40
valley in central india 46
valley in northern india 49
valley in northern peru 62
valley is derived from 52
valley is divided into 503
valley is visible from 52
valley my boyhood knew 52
valley of caracas from 45
valley of fertile land 68
valley of jackson hole 567
valley of kashmir from 118
valley of lebanon even 53
valley of northern india 82
valley of northern peru 57
valley of virginia from 67
valley of virginia into 49
valley of virginia there 54
valley of wounded knee 164
valley the following spring 40
valley the winters were 54
valued as orations upon 76
valued at average cost 192
valued at between five 51
valued at between four 81
valued at between three 71
valued at current cost 252
valued at current fair 55
valued at invoice cost 204
valued at variable cost 71
valued the written word 81
values as against those 83
values as deduced from 305
values as derived from 369
values as measured from 74
values as resulting from 42
values at compile time 109
values at previous time 72
values be derived from 96
values he derives from 84
values in between these 359
values in between those 91
values in central areas 56
values in certain areas 121
values in certain ways 69
values in control rats 57
values in decimal form 104
values in decision making 1440
values in digital form 68
values in foreign keys 52
values in general have 218
values in general were 129
values in general will 167
values in himself into 46
values in national life 84
values in private life 52
values in question have 66
values in question must 44
values in question were 98
values in question will 50
values in samples from 159
values in several ways 219
values in society were 46
values in tabular form 247
values in tissues from 87
values is brought into 47
values is crystal clear 83
values is derived from 263
values is divided into 633
values is evident from 115
values is nowhere more 73
values is perhaps best 51
values is perhaps more 94
values is perhaps most 46
values is usually very 42
values it follows from 47
values of african life 48
values of agrarian life 70
values of america were 47
values of ancient india 72
values of ancient rome 203
values of applied load 141
values of certain areas 58
values of certain data 87
values of certain other 187
values of channel length 146
values of channel width 53
values of college life 83
values of college youth 57
values of contact angle 216
values of control grid 113
values of control rats 94
values of country life 162
values of courtly love 317
values of current during 58
values of current flow 118
values of current from 128
values of current gain 241
values of current over 118
values of current were 83
values of current will 256
values of deduced from 82
values of density were 154
values of derived from 229
values of deviation from 81
values of diameter ratio 62
values of elapsed time 220
values of eternal life 49
values of everything else 87
values of exchange rate 69
values of exports from 216
values of exports were 93
values of fatigue life 147
values of freedom from 95
values of friction angle 252
values of imports from 320
values of imports into 141
values of imports were 65
values of judaism were 58
values of leisure time 89
values of liberal arts 65
values of mankind lack 64
values of married life 104
values of material wealth 52
values of maximum flux 56
values of maximum lift 127
values of maximum load 46
values of maximum shear 274
values of meaningful free 165
values of medical care 53
values of national life 90
values of national self 40
values of natural areas 126
values of neutron flux 153
values of numbers from 64
values of optical depth 108
values of poisson ratio 55
values of present time 49
values of previous years 52
values of private data 82
values of private life 183
values of religion have 63
values of religion were 48
values of resulting from 50
values of samples from 268
values of science have 124
values of science were 54
values of seismic wave 48
values of several other 191
values of several tens 97
values of similar land 51
values of society from 66
values of society have 469
values of society into 75
values of society must 108
values of society such 41
values of society were 261
values of society will 123
values of surface free 90
values of transit time 66
values of village life 224
values of voltage drop 144
values of voltage from 43
values of voltage gain 206
values or beliefs held 67
values or perhaps even 91
values or removed from 79
values the function will 41
values the written word 66
values to achieve their 41
values to decision making 46
values to intrude into 44
values to justify their 198
values to prevail over 95
values to reflect their 59
values to replace those 326
values to support their 106
values we cherish most 136
values we receive from 49
valves is derived from 51
valves of unequal size 83
