vain asserted by arguments 73
vain attempts at negotiation 92
vain attempts at repression 60
vain attempts of desperate 67
vain attempts to ascertain 54
vain attempts to conciliate 72
vain attempts to establish 238
vain attempts to extricate 66
vain attempts to penetrate 190
vain attempts to recapture 134
vain attempts to reconcile 268
vain attempts to subjugate 44
vain attempts to transform 52
vain ceremony of discussion 50
vain demanded the surrender 41
vain pretense of simplifying 40
vain promises of ministers 53
vain security of ignorance 56
vain subtlety of definition 92
vale profound is overflowing 383
vary directly in proportion 495
vary directly or inversely 339
vary markedly at different 86
vary markedly in appearance 47
vary markedly in character 44
vary markedly in different 646
vary markedly in intensity 57
vary slightly at different 194
vary slightly in appearance 134
vary slightly in different 1596
vary slightly in dimensions 42
vary slightly in intensity 44
vary slightly in structure 109
vary slightly on different 68
vary somewhat at different 265
vary somewhat in appearance 284
vary somewhat in character 281
vary somewhat in different 4387
vary somewhat in intensity 93
vary somewhat in proportion 96
vary somewhat in structure 150
vary somewhat on different 165
vast accession of influence 50
vast accession of knowledge 65
vast accession of political 109
vast accession of reputation 42
vast accession of territory 339
vast accretion of knowledge 62
vast advances in knowledge 52
vast authority of parliament 72
vast cathedral in freestone 64
vast database of knowledge 45
vast deposits of limestone 147
vast deposits of petroleum 237
vast deposits of phosphate 55
vast expanses of grassland 274
vast expanses of landscape 41
vast expanses of territory 845
vast expanses of unsettled 41
vast expanses of untouched 46
vast expanses of vegetation 47
vast expansion of commercial 63
vast expansion of executive 74
vast expansion of industrial 189
vast expansion of irrigation 52
vast expansion of knowledge 258
vast expansion of mediocrity 92
vast expansion of population 53
vast expansion of production 206
vast expansion of secondary 81
vast expansion of technical 40
vast expansion of territory 323
vast explosion of knowledge 66
vast extension of commercial 57
vast extension of knowledge 159
vast extension of railroads 146
vast extension of territory 221
vast heritage of knowledge 51
vast increases in knowledge 50
vast increases in population 195
vast increases in production 131
vast increases of population 49
vast labyrinth of galleries 44
vast magazine of ammunition 43
vast magazine of knowledge 76
vast majority in parliament 105
vast majority is convinced 40
vast majority of abdominal 141
vast majority of abscesses 44
vast majority of academics 449
vast majority of accidents 378
vast majority of activists 183
vast majority of adherents 92
vast majority of admissions 101
vast majority of advertising 393
vast majority of alcoholic 43
vast majority of alzheimer 47
vast majority of americans 20238
vast majority of aneurysms 145
vast majority of angiosperms 55
vast majority of antitrust 53
vast majority of appellate 49
vast majority of argentina 51
vast majority of argentine 139
vast majority of arguments 80
vast majority of artifacts 147
vast majority of aspirants 121
vast majority of asteroids 160
vast majority of asthmatics 53
vast majority of attendees 77
vast majority of attorneys 123
vast majority of audiences 43
vast majority of australian 746
vast majority of available 437
vast majority of batterers 56
vast majority of beginners 53
vast majority of behavioral 151
vast majority of believers 532
vast majority of bilateral 57
vast majority of biological 248
vast majority of biologists 304
vast majority of biomedical 41
vast majority of borrowers 121
vast majority of brazilians 374
vast majority of buddhists 208
vast majority of bulgarians 50
vast majority of california 555
vast majority of cambodians 138
vast majority of campaigns 49
vast majority of certified 92
vast majority of challenges 45
vast majority of charities 56
vast majority of chemicals 212
vast majority of cherokees 114
vast majority of childhood 175
vast majority of christians 3509
vast majority of churchmen 148
vast majority of circulating 92
vast majority of civilized 343
vast majority of claimants 157
vast majority of classical 173
vast majority of classroom 109
vast majority of clergymen 116
vast majority of clinicians 218
vast majority of cognitive 121
vast majority of collisions 53
vast majority of colombians 113
vast majority of colonists 237
vast majority of commercial 2428
vast majority of committed 86
vast majority of committee 55
vast majority of commoners 56
vast majority of communist 124
vast majority of community 371
vast majority of commuters 58
vast majority of companies 2668
vast majority of competent 143
vast majority of composers 146
vast majority of compounds 334
vast majority of computers 361
vast majority of conditions 213
vast majority of confession 294
vast majority of conflicts 243
vast majority of congenital 172
vast majority of consumers 1579
vast majority of contested 46
vast majority of contracts 652
vast majority of convicted 114
vast majority of copyright 42
vast majority of corporate 511
vast majority of countries 3001
vast majority of craftsmen 40
vast majority of creditors 97
vast majority of criminals 381
vast majority of criticism 45
vast majority of currently 172
