valleys like a sea 43
variable from p to 60
variable from r to 157
variable from s to 83
variable from t to 338
variable from u to 55
variable from v to 65
variable from x to 255
variable from y to 78
variable from z to 67
variance ratio f is 153
variation from a to 42
vectors from a to 47
vectors from o to 51
venture such a thing 173
vessels form a ring 55
victory over a foe 377
victory over a king 192
visible breath i am 154
visible face i am 60
voltage drop v is 50
voltage from a dc 249
voltage from a to 972
voltage from b to 333
voltage from c to 223
voltage from d to 64
voltage gain a is 299
voltage gain a of 159
voltage into a dc 252
