validate data entered into 166
valuable life lessons from 85
vanished like lightning from 42
vanished upon letters sent 59
variables have largely been 45
variables have usually been 92
variables into account when 198
variables move together over 47
variables were brought into 81
variables were deleted from 102
variables were derived from 883
variables were divided into 477
variables were dropped from 410
variables were entered into 2271
variables were gathered from 71
variables were grouped into 343
variables were measured during 117
variables were measured from 109
variables were omitted from 311
variables were recoded into 101
variables were removed from 231
variations have usually been 42
variations into account when 100
vascular risk factors have 44
vascular risk factors such 272
vascular risk factors were 58
vehicles were brought into 65
vehicles were divided into 90
vehicles were pressed into 149
vehicles were removed from 81
vehicles will increase from 49
velocity ratio depends upon 47
velocity will increase from 66
ventures were entered into 52
vertical angle measured from 86
vertical axis against time 138
vertical dyad linkage theory 156
vertical line between rome 77
vertical line between these 42
vertical line divided into 52
vertical line dropped from 1196
vertical line erected from 92
vertical line extending down 151
vertical line extending from 759
vertical line extends from 84
vertical line segment from 60
vertical line upwards from 77
veterans from previous wars 59
veterans into civilian life 103
veterans were removed from 48
veterans were returning from 79
veterans were returning home 80
veterans were settled there 48
veterans were suffering from 130
victuals eaten between meals 53
villages have usually been 57
villages into smaller ones 61
villages more distant from 40
villages were brought into 152
villages were carried away 89
villages were covered during 49
villages were divided among 53
villages were divided into 961
villages were founded during 40
villages were grouped into 479
villages were largely self 290
villages were located along 286
villages were removed from 75
villages were several days 56
villages were suffering from 84
villages were visible from 42
villages were visited during 50
violently flinging himself down 64
violently threw himself down 250
violently when brought into 53
visceral pain differs from 46
visionary form reclining upon 41
visionary mate flitted from 48
visitors from america were 50
visitors from endemic areas 50
visitors from outside their 55
visitors from outside were 82
visitors from overseas have 109
visitors from overseas were 109
visitors were allowed into 205
visitors were allowed only 77
visitors were brought into 53
visitors were divided into 62
visitors were invited into 73
visitors were mounted upon 95
visitors were present from 96
visitors were ushered into 289
volatile oils derived from 134
voracious jaws expanding wide 78
votaries five hundred years 59
vultures were gathered over 52
