vacates your noble shoes 46
vacation during which time 68
vaccine soon after birth 130
vaginal swab taken from 59
vaguest ideas about what 170
vaguest ideas about your 60
valleys down about their 81
valleys have never been 68
valleys have often been 47
valleys have since been 79
vanishing from light into 85
variable among human beings 49
variable cost curve gets 60
variable cost curve lies 62
variable cost curve will 169
variable cost fixed cost 158
variable cost total cost 307
variable most often used 89
variable must equal zero 43
variable time after birth 127
variable were taken from 85
variable will change when 103
variable will equal zero 44
variance among group means 62
variants have since been 106
variants were found among 49
variation among group means 100
variation among human beings 260
variation among state laws 61
variation over large areas 65
variation will occur from 41
variety among human beings 75
variety most often used 48
vaulted roof rises high 62
vaulted roof springing from 49
vehicle came under fire 62
vehicle most often used 72
vendors from selling their 50
vendors have added their 62
vendors were selling their 101
vengeance from heaven upon 137
venture forth after dark 118
venture into rural areas 99
venture once again into 134
venture their lives among 90
venture their lives upon 217
venture their souls upon 194
venture there after dark 94
venture upon anything like 97
venture upon anything more 46
venture upon pulling down 1144
venture your souls upon 52
verdict even though there 50
verdict from which there 307
verdict upon every book 228
versions from latin into 53
versions have often been 71
versions have since been 165
vessels also arise from 40
vessels bringing goods from 47
vessels came within hail 86
vessels came within range 100
vessels coming round cape 122
vessels during fetal life 56
vessels from every part 144
vessels from every port 343
vessels from falling into 100
vessels from getting into 62
vessels from reaching their 40
vessels from running into 75
vessels from sailing from 52
vessels from which these 90
vessels have either been 43
vessels have grown into 70
vessels have never been 253
vessels have often been 139
vessels have since been 220
vessels have taken away 80
vessels having found their 48
vessels over forty tons 69
vessels pass every four 119
vessels these fifty years 48
vessels upon which only 115
vessels were about three 99
vessels were again clear 44
vessels were blown from 68
vessels were built during 147
vessels were built from 110
vessels were built here 142
vessels were built there 197
vessels were built upon 78
vessels were either sunk 154
vessels were fired upon 217
vessels were first made 87
vessels were first seen 60
vessels were first used 66
vessels were found among 46
vessels were found during 57
vessels were found here 78
vessels were found only 46
vessels were found there 58
vessels were freed from 42
vessels were getting ready 56
vessels were nearly ready 60
vessels were never heard 52
vessels were often made 61
vessels were often seen 168
vessels were often used 90
vessels were owned there 51
vessels were sailing from 99
vessels were saved from 61
vessels were still made 41
vessels were still more 115
vessels were swept from 42
vessels were taken away 78
vessels were taken from 332
vessels were taken into 251
vessels were taken over 442
vessels were thrown into 94
vessels were under fire 46
vessels were under sail 42
vessels were within range 156
vexation will seize upon 123
vibrate their tails when 198
victims call aloud upon 43
victims from seeking help 168
victims have never been 156
victims have often been 187
victims have ranged from 41
victims were alive when 44
victims were drawn from 172
victims were hanged from 41
victims were human beings 83
victims were lured into 42
victims were never seen 57
victims were often kept 71
victims were often left 55
victims were taken away 72
victims were taken from 436
victims were taken into 61
victims were thrown down 138
victims were thrown from 62
victims were thrown into 623
victims were white were 93
victors over russia only 65
victors went round among 52
victory from every other 64
victory here would have 68
victory more would ruin 43
victory over every evil 117
victory over every form 118
victory over every other 61
victory over george bush 130
victory over georgia tech 179
victory over henry clay 102
victory over russia gave 48
victory over santa anna 523
victory over texas tech 53
victory soon spread over 57
victory there would have 322
victory were again heard 52
victory were thrown away 77
victory will crown your 74
victory will perch upon 119
viewers during prime time 56
viewers have never seen 47
viewers week after week 51
village cows stray into 64
village five miles away 1104
village five miles from 934
village five miles north 494
village five miles south 370
village five miles west 245
village four miles away 421
village four miles from 1089
village four miles north 278
village four miles south 360
village four miles west 106
village from which came 57
village from which many 71
village from which most 153
village from which such 113
village from which their 112
village from which there 60
village from which these 48
village girl would throw 64
village have never been 49
village lies about three 100
village life based upon 44
village life which have 70
village life which were 54
village life would have 104
