valiant acts were remembered 92
valley show their confidence 76
values from data statements 229
values from their respective 493
values from these regressions 57
values from those calculated 88
values have been accurately 104
values have been attributed 323
values have been calculated 5246
values have been calibrated 45
values have been classified 93
values have been completely 140
values have been considered 584
values have been correlated 153
values have been criticized 72
values have been determined 4863
values have been diminished 58
values have been discovered 74
values have been documented 81
values have been elaborated 50
values have been eliminated 239
values have been emphasized 112
values have been explicitly 42
values have been formulated 47
values have been identified 620
values have been inculcated 52
values have been influenced 135
values have been initialized 56
values have been integrated 81
values have been introduced 270
values have been maintained 193
values have been multiplied 576
values have been normalized 1620
values have been recognized 171
values have been registered 70
values have been reinforced 52
values have been relatively 99
values have been sacrificed 120
values have been strengthened 55
values have been subtracted 206
values have been summarized 132
values have been superseded 51
values have been suppressed 60
values have been translated 145
values have been undermined 159
values having been calculated 53
values having been determined 192
values into their equivalent 110
values into their respective 88
values into three categories 81
values must take precedence 74
values vary from laboratory 169
values were also calculated 465
values were also considered 64
values were also determined 347
values were more consistent 49
values were well correlated 42
values will take precedence 48
valves have been considered 40
valves have been introduced 128
vanish when true philosophy 56
vanity will ever obliterate 43
varies from mild discomfort 239
various cell wall components 75
various cost flow assumptions 57
various data base management 42
various data mining techniques 193
various farm size categories 86
various free time activities 48
various health care facilities 231
various health care professions 223
various other great personages 50
various stem cell populations 52
vaults have been discovered 95
vector having three components 40
vector into three components 40
vector will have components 54
veered away from traditional 65
verses have been attributed 129
verses have been considered 45
verses have been introduced 49
verses have been translated 230
vessel made sail immediately 60
victim over whom providence 224
victim will have difficulty 46
viewed even more negatively 52
viewed from their respective 52
viewed from their standpoint 129
viewed much more critically 59
viewed much more negatively 89
viewed much more positively 226
villas have been discovered 219
villas have been identified 60
violate other great principles 167
violent were their prejudices 79
virgin land into cultivation 60
virgin soil into cultivation 45
virtue have been deservedly 93
virtue were much diminished 95
visions made their visitations 45
visits from their implacable 99
visits have been undertaken 54
visits were most frequently 87
visits were much appreciated 58
visits were very infrequent 49
visual aids when appropriate 59
visual cues were eliminated 58
voices came from downstairs 72
voices came from everywhere 42
voices coming from downstairs 190
voices coming from everywhere 55
voices coming from particular 44
voices have been suppressed 112
voices lost their distinction 72
voices were heard everywhere 57
voices were heard immediately 70
volley from their matchlocks 54
volume also sold separately 70
volume flow rate measurement 88
volume have been calculated 66
volume have been considered 79
volume have been determined 86
volume have been identified 55
volume have been influenced 52
volume have been introduced 47
volume have been reproduced 146
volume have been translated 352
voters from their traditional 152
voters from union households 62
voters have been registered 175
voters were less interested 40
voters were more influenced 44
voters were more interested 231
vulgar cast from undervaluing 129
