ideas become integrated into 42
into another application such 88
into another centrifuge tube 297
into another conference room 40
into another retirement plan 138
into better residential areas 70
into bloody dissensions among 49
into closer dependence upon 162
into crisis management mode 89
into direct dependence upon 123
into direct negotiations once 42
into effect immediately upon 1943
into english everywhere else 84
into english immediately from 137
into english literature from 53
into fierce resistance from 103
into finite difference form 279
into further dependence upon 40
into greater dependence upon 196
into greater prominence among 41
into greater prominence during 99
into greater prominence when 61
into highly productive land 75
into highly specialized areas 41
into highly specialized jobs 72
into larger structures such 74
into obvious prominence those 46
into prison management must 59
into public prominence during 42
into public prominence when 60
into recent appraisals from 69
into remote wilderness areas 72
into serious difficulty when 75
into serious negotiations over 43
into severe competition from 54
into simple categories such 42
into slight aberrations from 83
into something dangerously like 94
into something infinitely more 617
into something perilously like 58
into something remarkably like 144
into special agreements among 239
into special prominence during 83
into special prominence when 70
into sudden prominence during 41
into tribes habitually come 71
into useful mechanical work 555
into various categories from 40
into various categories like 121
into various categories such 411
into various components such 158
ionic strength approaches zero 185
