ideals have fashioned despite 550
image into conscious relation 50
incur high interest charges 45
index finger proximal phalanx 62
inner loop feedback control 131
input from affected parties 65
input from descending pathways 49
input from external sources 528
input from multiple sensory 63
input from multiple sources 530
input from numerous sources 72
input into computer systems 49
input into decisions affecting 281
input into decisions regarding 212
input into multiple outputs 81
inure their children betimes 122
issue also contains several 95
issue facing american society 61
issue like assisted suicide 73
issuing those absolute decrees 45
itching from allergic reactions 42
items most directly related 46
items were directly related 57
items were exchanged between 42
items were excluded because 106
items were included because 142
items were produced locally 44
items were randomly arranged 47
items were randomly ordered 137
items were selected according 77
items were selected because 525
items were weighted according 47
items were weighted equally 53
