if absolute truth is 106
if absorbed from the 85
if absorbed into the 538
if accepted into the 92
if accepted must be 87
if accepted will be 89
if accurate data is 41
if accurate data on 60
if accurate work is 173
if achilles were to 76
if acquired during the 190
if acquired from the 64
if acquired prior to 601
if activity were the 99
if actually made as 41
if actually paid by 53
if actually paid in 90
if actually paid to 41
if actually said by 71
if actually there is 68
if actuated only by 197
if adequate care is 487
if adequate data on 62
if adequate food is 74
if adequate help is 54
if adequate means of 144
if adequate time is 397
if admitted during the 132
if admitted into the 707
if affected only by 62
if africans were to 241
if agencies fail to 43
if agencies were to 47
if aircraft were to 55
if ambushed among the 51
if analysis were the 140
if analysis were to 64
if analyzed from the 96
if anywhere along the 60
if anywhere among the 40
if anywhere else in 380
if anywhere lies the 46
if anywhere there be 77
if anywhere there is 211
if approved will be 49
if argument there be 43
if articles made to 48
if ascorbic acid is 271
if assessed from the 54
if assessed upon the 67
if attacked during the 44
if attacked from the 343
if attacked only by 67
if attention must be 58
if attention were to 118
if australia were to 439
if authority must be 88
if authority were to 55
if averaged over the 223
if awakened during the 54
if awakened from the 132
if banished from the 274
if beethoven were to 43
if behaviors such as 40
if believed among us 41
if benefits were to 109
if benefits will be 56
if bestowed upon the 54
if bismarck were to 52
if blotches were to 83
if borrowed from the 236
if buddhism were to 69
if business were to 236
if canadians were to 105
if carbolic acid be 69
if carbolic acid is 63
if carbonic acid be 169
if carbonic acid is 209
if catherine were to 71
if catholics were to 217
if chemists were to 44
if children born to 45
if children came to 63
if children cease to 43
if children come to 385
if children fail to 309
if children from the 91
if children grew up 151
if children grow up 487
if children have an 105
if children have no 170
if children have the 223
if children have to 273
if children know the 132
if children lack the 47
if children learn the 157
if children learn to 367
if children live in 107
if children living in 47
if children make so 75
if children must be 115
if children need to 143
if children seem to 99
if children tend to 62
if children want to 300
if children went to 58
if children were in 330
if children were so 42
if children were the 89
if children were to 1183
if children will be 173
if children wish to 91
if christian faith is 453
if christian knew the 55
if christian love is 51
if christian some of 57
if churches were to 97
if citizens fail to 69
if citizens have no 63
if citizens have the 82
if citizens want to 65
if citizens were to 500
if citizens wish to 58
if civility were the 76
if clifford were to 129
if colleges were to 65
if colonies were to 63
if commenting upon the 57
if commerce were to 60
if complete loss of 46
if composed only of 83
if computed from the 250
if computed upon the 54
if computer time is 88
if concealed from the 69
if concepts such as 193
if confined during the 107
if confined only to 205
if conflict were to 165
if conjured from the 71
if conscious only of 52
if consisting only of 105
if constant care is 60
if controls were to 53
if convened upon the 444
if conveyed into the 41
if criminal have as 75
if critical theory is 112
if cromwell were to 46
if darkness were the 43
if daylight film is 45
if debarred from the 135
if decisions have to 199
if decisions made by 78
if decisions must be 120
if decisions were to 140
if deducted from the 280
if defended only by 82
if deferred till the 69
if delivery time is 48
if descending from the 218
if descending into the 133
if descending upon the 41
if designed only to 105
if detached from it 63
if detached from the 1761
if detailed data on 41
if detected early in 100
if deviations from it 52
if deviations from the 471
if diagnosed early in 80
if diffused over the 65
if diffusion were the 75
if directed along the 57
if directed from the 69
if directed into the 149
if directed only to 173
if directed upon the 53
if directly from the 107
if directly paid or 124
if disaster were to 261
if disdaining even to 45
if disputes were to 53
if distance from the 145
if distinct from the 317
if divorced from the 1255
if doubtful what to 83
if drainage from the 82
if economic life is 94
if economic theory is 262
if education took the 45
if education were the 117
if education were to 421
if eighteen years of 136
if einstein were to 52
if elections were to 369
if elements such as 121
if elevated ideas of 139
if elicited from the 114
if elizabeth were to 329
if emissions from the 50
if emissions were to 50
if employed during the 88
if employed early in 64
if employed more in 41
if employed only in 48
if employed prior to 40
if employed upon the 60
if employed when the 52
if engineers were to 46
if entirely bent on 44
if entirely left to 52
if entrance into the 105
if epitaphs were to 58
if equality were to 100
if essential form is 40
if estranged from the 44
if europeans want it 113
if europeans want to 64
if europeans were to 209
if euthanasia were to 66
if everyday life is 101
if everyone acts in 188
if everyone came to 247
if everyone else at 114
if everyone else in 2260
if everyone else is 4649
if everyone else on 124
if everyone ends up 63
if everyone felt as 110
if everyone felt the 117
if everyone from the 117
if everyone gave up 156
if everyone gets the 270
if everyone gets to 53
if everyone here is 70
if everyone knew he 98
if everyone knew in 44
if everyone knew it 178
if everyone knew of 54
if everyone knew the 312
if everyone living in 45
if everyone must be 82
if everyone paid the 65
if everyone says it 64
if everyone sees the 42
if everyone told the 76
if everyone took it 47
if everyone took the 156
if everyone used it 55
if everyone used the 223
if everyone uses it 51
if everyone uses the 189
if everyone went on 50
if everyone went to 176
if everyone were an 81
if everyone were as 602
if everyone were at 92
if everyone were in 337
if everyone were of 44
if everyone were on 84
if everyone were so 50
if everyone were the 198
if everyone were to 6735
if everyone will be 125
if evidence from the 108
if evidence were the 76
if evidence were to 139
if evolution were to 80
if examined during the 55
if examined from the 355
if examined will be 110
if examples such as 44
if excluded from the 824
if exclusion from the 96
if executed during the 79
if executed prior to 108
if executed upon the 54
if exempted from the 117
if exemption from the 67
if exercise such as 44
if expansion were to 75
if expelled from the 266
if expenses such as 46
if explaining were to 61
if exposure time is 124
if extended from the 101
if extended into the 150
if extended over the 140
if external work is 89
if families were to 206
if fatigued only by 51
if feedback from the 104
if feminist theory is 51
if financed from the 41
if financial need is 76
if florence went to 43
if florence were to 51
if followed from the 78
if followed into the 66
if followed step by 75
if followed will be 46
if forgetting what he 43
if fortunes were to 62
if fourteen years of 208
if franklin says he 98
if franklin were on 45
if furiously from the 51
if gentiles were to 44
if geography were to 53
if goodness were to 81
if governor smith is 52
if grounded upon the 173
if hannibal were at 46
if harrison were to 63
if heredity were the 63
if hesitating what to 91
if hinduism were to 46
if honestly trying to 54
if hospital care is 65
if humanity were to 349
if hydrogen were the 41
if hydrogen were to 73
if hypnosis were to 43
if immediate care is 64
if immediate harm to 82
if immediate help is 46
if imported from the 353
if imported into the 237
if impulses from the 58
if included among the 72
if incurred during the 73
if incurred prior to 112
if indirect part in 40
if indirect role in 141
if indonesia were to 197
if inducted into the 49
if industry were in 44
if industry were to 303
if infection sets in 72
if infidels were to 106
if inflation heats up 45
if inflation runs at 198
if inflation were to 440
if initially only in 46
if initially there is 210
if initiated during the 57
if initiated early in 144
if initiated prior to 89
if injected into an 325
if injected into the 2723
if insanity were the 52
if inserted into an 47
if inserted into the 497
if insisted upon as 117
if insisted upon by 210
if insisted upon in 40
if insisted upon is 43
if intended only as 149
if intended only to 127
if interest lies in 117
if interest rate is 124
if interest were to 123
if internal work is 44
if isolated from the 2498
if japanese were to 44
if judgment were to 137
if katherine were to 42
if laughter were the 55
if launched from the 117
if liability were to 178
if linguistic theory is 45
if louisiana were to 44
if machines were to 48
if magnetic tape is 55
if majority rule is 177
if managers fail to 144
if managers have the 173
if managers have to 43
if managers want to 469
if managers were to 174
if managers wish to 279
if marginal cost is 979
if marshall were to 42
if materials have to 41
if materials must be 54
if materials such as 93
if medicine were to 72
if meditating upon the 76
if meditating what he 60
if messages from the 59
if methylene blue is 97
if michigan were to 43
if migration from the 58
if migration were to 64
if miracles were in 86
if miracles were to 121
if mistakes were to 64
if moderate care be 50
if monetary union is 80
if monsieur were to 52
if morality meant no 53
if morality were no 41
if morality were to 43
if muscular work is 54
if mutations must be 159
if narrowed down to 104
if newtonian theory is 40
if observed during the 77
if observed from an 47
if observed from the 472
if observed when the 40
if obtained during the 60
if obtained from an 135
if obtained from or 85
