ideas discovering inequality in 104
ingest excessive quantities of 120
into ancestral precursors of 70
into automatic inferences or 44
into bilateral agreements on 73
into bilateral agreements to 102
into bilateral discussions on 45
into bilateral negotiations on 55
into bilateral negotiations to 60
into biological categories of 51
into classroom activities in 49
into collusive agreements to 44
into commercial activities of 88
into communist activities in 100
into community integration in 49
into different apartments or 43
into different approaches to 179
into different categories as 375
into different categories at 101
into different categories by 253
into different categories in 358
into different categories is 261
into different categories of 1628
into different categories on 333
into different categories or 369
into different categories so 187
into different categories the 48
into different categories to 169
into different collections of 63
into different components as 47
into different components by 44
into different components in 52
into different components of 183
into different components or 55
into different conceptions of 92
into different currencies at 59
into different occupations is 54
into different perceptions of 60
into different proportions of 105
into different residential or 57
into different structures of 46
into different substances by 116
into districts controlled by 98
into effective associations or 112
into effective employment as 95
into effective management of 40
into elaborate discussions as 62
into elaborate discussions of 76
into existence immediately on 48
into existence originally as 62
into existence originally in 45
into existence regardless of 60
into existence subsequent to 396
into fantastic semblances of 151
into fragments continents of 98
into geological literature by 69
into imaginary quantities of 119
into important components of 56
into industrial employment by 44
into industrial employment in 77
into jerusalem surrounded by 40
into measurable indicators of 106
into molecular mechanisms of 149
into municipal government in 49
into passionate expressions of 249
into passionate professions of 134
into permanent associations by 70
into permanent dependence on 56
into permanent employment in 48
into permanent structures of 59
into polemical discussions or 43
into political activities in 57
into political discussions in 41
into political importance in 67
into political prominence as 173
into political prominence by 101
into political prominence in 209
into political retirement by 41
into practical application at 54
into practical application by 144
into practical application in 393
into practical application is 64
into practical application of 47
into practical application on 63
into practical application the 330
into practical application to 52
into practical legislation the 46
into preexisting categories of 51
into premature retirement by 79
into premature retirement in 61
into reasonable facsimiles of 97
into reluctant acceptance of 66
into repulsive coarseness or 47
into situations calculated to 69
into situations irrelevant to 47
into technical discussions of 47
into temporary retirement at 56
into temporary retirement in 135
into territory controlled by 355
into theoretical discussions of 89
into universal principles of 95
into unnatural shrillness by 43
into unpleasant prominence by 49
into unpleasant prominence the 48
into voluntary agreements to 110
into voluntary associations of 45
into voluntary associations to 73
into voluntary banishment at 63
into voluntary banishment in 52
into voluntary bankruptcy in 47
into voluntary liquidation at 71
into voluntary liquidation by 95
into voluntary liquidation in 869
into voluntary liquidation on 359
into voluntary liquidation or 92
ionic inorganic phosphates by 126
ionic transport properties of 62
