idealizing the reciprocal feelings 43
ideology of individual choice 114
ideology of individual rights 301
ideology of nationalism itself 72
ideology of scientific racism 59
ignites the compressed charge 45
ignoble by transfusion through 126
ignored by government policy 63
ignored or implicitly denied 40
ignored the accompanying mental 72
ignored the historical reality 43
ignored the legitimate rights 40
ignored the territorial rights 40
ignores the cumulative effect 69
ignores the historical reality 142
ignores the historical record 193
illicit or fraudulent merely 153
illness is relatively common 40
illness or accidental injury 545
illness or disability caused 100
illness or disability itself 75
illness or disability occurs 55
illness or disability should 93
illusion of historical reality 108
imagery the composition before 45
imagine an absolutely primal 43
imagine an educational system 69
imagine an indefinite number 61
imagine the cumulative effect 100
imagine the demoralizing effect 45
imagine the disastrous effect 50
imagine the excitement caused 115
imagine the melancholy regret 59
imagine the successive creation 45
imagine the terrestrial bodies 45
imagine the tremendous amount 67
imagine the tremendous effect 54
imagine the tremendous impact 52
imagining the particular manner 40
imbedding of terrestrial plants 115
imbibed the scientific spirit 41
imitate the absolutely unerring 158
imitate the aggressive actions 73
imitate the enterprising genius 92
imitating the interested policy 49
immoral or profligate course 63
immoral or scandalous matter 320
impacts of ecological stress 142
impacts of government actions 71
impacts of government policy 166
impacts of government spending 49
impacts of management actions 71
impacts of structural changes 78
impacts of transgenic plants 51
impacts on ecosystems caused 64
impacts on employment levels 43
impacts on indigenous peoples 435
impacts on particular groups 159
impacts on vulnerable groups 87
impacts to acceptable levels 213
imparting an electrical charge 65
imparting is relatively sudden 93
imparts an electrical charge 61
impedes the circulation through 77
impelling the individual toward 53
impetus to educational reform 91
impetus to scientific thought 50
implant is surgically placed 51
implied or explicitly stated 986
implied or incidental powers 944
implies an indefinite number 43
implies an orientation toward 141
implies no aggressive intent 112
implies or explicitly states 44
implies the unhesitating belief 50
importing the connotation gained 52
imports of nonferrous metals 137
imposed an impossible burden 130
imposed by government bodies 49
imposed by government decree 226
imposed by government policy 218
imposed by government through 40
imposed by imperialist powers 46
imposed by individual states 122
imposed by particular states 56
imposed by regulatory bodies 168
imposed by traditional gender 44
imposed by traditional values 45
imposed on foreigners settling 82
imposed on government spending 59
imposed on indigenous peoples 152
imposed on individual income 43
imposed on investment income 126
imposed on particular groups 82
imposed on proscribed groups 70
imposes an impossible burden 138
impress of individual genius 72
imprint we distribute titles 182
improve an information system 50
improve on traditional methods 55
improve the advantages already 56
improve the capitalist system 49
improve the circulation through 131
improve the concessions already 43
improve the consumption levels 66
improve the democratic system 58
improve the dielectric strength 78
improve the educational levels 59
improve the educational methods 45
improve the educational status 349
improve the educational system 1986
improve the elementary school 68
improve the employment status 161
improve the examination system 59
improve the horizontal equity 58
improve the information system 221
improve the management skills 182
improve the management system 237
improve the measurement system 91
improve the mechanical strength 491
improve the nutritional intake 102
improve the nutritional levels 50
improve the nutritional status 3254
improve the productive forces 68
improve the productive powers 97
improve the regulatory system 69
improve the structural design 49
improve the structural strength 49
improve the therapeutic effect 153
improve the traditional methods 77
improve the traditional system 62
improve the ventilation system 67
improving the circulation through 95
improving the educational levels 44
improving the educational status 201
improving the educational system 1267
improving the elementary school 163
improving the employment status 72
improving the examination system 47
improving the information system 155
improving the management skills 77
improving the management system 158
improving the mechanical strength 141
improving the nutritional status 1806
improving the productive forces 59
improving the productive powers 139
improving the regulations already 50
improving the traditional methods 65
improving the traditional system 43
impulse is propagated through 108
impulse to benevolent actions 96
impulse to scientific thought 46
inaction by legitimate reasons 143
incision is completely closed 115
incision of sufficient extent 52
incline the individual toward 140
include an abbreviated version 57
include an apostrophe itself 64
include an appreciable amount 96
include an appreciable number 105
include an appropriate amount 162
include an appropriate existing 48
include an appropriate number 148
include an arbitration clause 882
include an assignment clause 47
include an elementary school 123
include an exhaustive review 82
include an impressive number 71
include an indefinite number 199
include an information center 91
include an information system 48
include an inhibitory effect 52
include an inordinate number 50
include an integration clause 68
include an interaction effect 45
include an orientation toward 73
include in investment income 212
include the appropriate amount 107
include the appropriate number 106
include the appropriate volume 42
include the arbitration clause 71
include the complement system 83
include the components listed 64
include the connective tissue 99
include the cumulative effect 191
include the educational system 124
include the elementary school 68
include the government sector 118
include the greenhouse effect 93
include the historical museum 71
include the historical novels 41
include the indigenous peoples 71
include the information listed 254
include the information needed 243
include the interaction effect 56
include the nutritional status 64
include the particular factor 86
include the peripheral nerves 46
include the powerpoint viewer 384
include the procedures listed 69
include the relatively greater 47
include the relatively recent 52
