if abrupt action would 69
if actual rhythm shall 54
if advice could really 87
if another buyer comes 57
if another child tried 73
if another method would 58
if another might watch 118
if another party fails 62
if another route could 50
if another sitting could 81
if another tiger loses 44
if another woman would 64
if anyone asked about 275
if anyone asked where 84
if anyone cared about 134
if anyone cares about 84
if anyone comes after 64
if anyone comes close 54
if anyone comes looking 133
if anyone comes while 76
if anyone could carry 45
if anyone could catch 60
if anyone could change 60
if anyone could claim 92
if anyone could count 148
if anyone could doubt 41
if anyone could drive 48
if anyone could guess 69
if anyone could judge 40
if anyone could offer 60
if anyone could point 51
if anyone could prove 229
if anyone could really 176
if anyone could sleep 47
if anyone could solve 114
if anyone could stand 76
if anyone could still 75
if anyone could write 64
if anyone finds anything 43
if anyone finds fault 45
if anyone knows about 774
if anyone knows anything 550
if anyone knows where 548
if anyone needs anything 118
if anyone really cared 178
if anyone really cares 162
if anyone really knows 248
if anyone really wants 237
if anyone shall claim 46
if anyone speaks about 49
if anyone still cared 50
if anyone still needs 41
if anyone still thinks 106
if anyone still wants 42
if anyone takes words 236
if anyone talks about 66
if anyone tells father 46
if anyone thinks about 47
if anyone tried anything 45
if anyone tries anything 60
if anyone wants anything 89
if anyone would appear 56
if anyone would bother 97
if anyone would catch 40
if anyone would claim 71
if anyone would offer 87
if anyone would rather 42
if anyone would really 160
if anyone would still 59
if anyone would write 67
if better terms could 126
if butler hated anything 40
if coitus takes place 72
if common sense could 77
if common sense tells 89
if counting birds flown 69
if demand falls below 40
if demand falls short 45
if diarrhea lasts longer 41
if direct labor costs 95
if direct labor hours 76
if doubts arise about 43
if doubts exist about 51
if england stood aloof 117
if england would adopt 46
if england would agree 117
if england would allow 68
if england would repeal 50
if enough money could 206
if enough people agree 74
if enough people begin 65
if enough people could 177
if enough people share 45
if enough people start 41
if enough people would 426
if events occur which 67
if france acted first 56
if france would agree 162
if france would engage 126
if french goods could 141
if further study shows 49
if gentle words might 77
if global warming turns 43
if gossip speaks truly 63
if higher growth rates 54
if higher order terms 180
if hitler would agree 83
if income falls below 76
if indeed anything could 92
if indeed every local 40
if jolter could guess 62
if julius caesar shall 43
if madame merle would 58
if mexico would agree 62
if michael could trust 56
if mortal power could 53
if neither party could 67
if neither party gives 88
if neither party makes 80
if neither party seeks 47
if neither party shall 240
if neither party takes 59
if neither party wants 55
if nobody cared about 78
if nobody cares about 101
if nobody could shoot 72
