ignited a firestorm that 168
ignored a suggestion that 40
imagine a character who 92
imagine a community that 363
imagine a community with 54
imagine a connection with 73
imagine a continuum with 95
imagine a convention that 187
imagine a different and 177
imagine a different one 115
imagine a different set 148
imagine a different way 290
imagine a guardsman you 40
imagine a household with 117
imagine a mechanism for 104
imagine a mechanism that 297
imagine a narrative that 107
imagine a necessity for 52
imagine a politician who 46
imagine a population that 99
imagine a procedure that 125
imagine a researcher who 51
imagine a scientist who 70
imagine a structure that 90
imagining a character who 40
imagining a principle for 68
imbibed a partiality for 106
imbibed a reverence for 365
imbibed a veneration for 123
imitating a gentleman than 49
imparting a yellowish tinge 44
imparts a freshness and 76
imparts a yellowish tinge 69
impeaching a president for 140
implied a connection with 159
implied a conviction that 270
implied a different set 60
implied a different way 47
implied a disregard for 76
implied a necessary and 45
implied a necessity for 76
implied a political and 48
implied a radically new 44
implies a certainty that 55
implies a community that 92
implies a conception and 76
implies a conclusion that 61
implies a confession that 126
implies a connection with 668
implies a conviction that 962
implies a criticism and 46
implies a different and 115
implies a different set 440
implies a different use 50
implies a different way 213
implies a disregard for 225
implies a framework for 48
implies a guarantee that 129
implies a hierarchy and 47
implies a knowledge and 107
implies a knowledge not 48
implies a knowledge that 322
implies a mechanism for 132
implies a mechanism that 151
implies a mysterious and 41
implies a necessary and 86
implies a necessity for 235
implies a passivity that 53
implies a perception that 151
implies a permanent and 78
implies a persuasion that 101
implies a political and 105
implies a prediction that 105
implies a principle that 95
implies a procedure for 57
implies a questioner with 104
implies a radically new 77
implies a realization that 170
implies a reverence for 131
implies a spiritual and 52
implies a structure that 99
implies a suggestion that 86
implies a tolerance for 64
implies a universal and 51
implies a voluntary act 115
implies a voluntary and 49
implies a willingness and 155
imposed a capitation tax 112
imposed a different set 115
imposed a franchise tax 101
imposed a graduated tax 129
imposed a limitation that 47
imposed a mandatory death 224
imposed a nationwide ban 48
imposed a necessity for 70
imposed a permanent ban 45
imposed a perpetual and 50
imposed a perpetual oath 79
imposed a perpetual tax 46
imposed a political and 85
imposed a privilege tax 65
imposed a regulation that 52
imposed a restraint that 129
imposed a severance tax 129
imposed a temporary ban 297
imposed a voluntary ban 40
imposed a worldwide ban 48
imposes a different set 264
imposes a franchise tax 191
imposes a graduated tax 121
imposes a limitation that 63
imposes a necessity for 112
imposes a privilege tax 52
imposes a restraint that 209
imposes a severance tax 51
imposes a structure and 69
imposes a structure that 99
imposes a surcharge for 72
impress a conviction that 163
impress a foreigner with 52
include a blueprint for 78
include a character that 94
include a character who 113
include a character with 120
include a checklist for 131
include a checklist that 42
include a clubhouse with 68
include a commission for 53
include a component due 139
include a component for 551
include a component that 1304
include a component with 45
include a conclusion that 91
include a connection with 68
include a contingency for 118
include a contingency that 139
