ideal case described above 57
ideas from different angles 56
ideas from different parts 142
ideas from different people 98
ideas into component parts 48
ideas into effective action 96
ideas into political action 136
ideas into practical action 123
ideas into practical shape 107
ideas into practical terms 42
ideas look pitifully naked 67
ideas were basically sound 82
ideas were developed about 67
ideas were developed later 43
ideas were developed under 45
ideas were developed which 88
ideas were developed within 72
ideas were especially fixed 53
ideas were expressed about 73
ideas were extremely vague 42
ideas will naturally arise 59
inch high explosive shell 157
inch thick stainless steel 267
into cold distilled water 58
into deep depression after 71
into deep discussion about 43
into even shallower water 48
into fine filaments which 56
into fine particles which 274
into fine processes which 45
into five component parts 133
into five different forms 56
into five different kinds 161
into five different parts 187
into five different sizes 53
into five different types 834
into five different zones 82
into five districts under 133
into five functional units 54
into five geographic races 73
into five geographic zones 60
into five principal parts 199
into five principal types 142
into five schedules based 50
into five sequential steps 42
into five subgroups based 57
into four companies under 101
into four component parts 403
into four different cases 44
into four different forms 133
into four different kinds 416
into four different modes 56
into four different parts 414
into four different sizes 66
into four different steps 52
into four different types 1631
into four different zones 144
into four districts under 64
into four districts which 53
into four frequency bands 402
into four functional types 60
into four functional units 73
into four geographic zones 62
into four identical parts 59
into four occupation zones 1876
into four political units 57
into four principal bands 50
into four principal clans 51
into four principal kinds 102
into four principal parts 833
into four principal sects 46
into four principal steps 44
into four principal types 424
into four principal zones 54
into four provinces under 50
into four provinces which 50
into four pulmonary veins 54
into four quadrants based 106
into four quadrants which 156
into four sequential steps 58
into four squadrons under 41
into four subgroups based 135
into full container loads 88
into full production after 90
into full production again 77
into full production until 185
into great political power 77
into great spiritual danger 67
into heavy municipal debts 59
into high latitudes where 40
into late classical times 48
into less available forms 66
into less competent hands 94
into less expensive housing 45
into less favorable social 40
into less technical terms 44
into making judgments about 49
into many component parts 160
into many countries where 66
into many different camps 40
into many different cells 40
into many different ethnic 49
into many different forms 1367
into many different hands 85
into many different kinds 1085
into many different lines 110
into many different parts 370
into many different roles 84
into many different sects 257
into many different sites 81
into many different sizes 83
into many different social 73
into many different sorts 80
into many different total 45
into many different types 1195
into many different units 74
into many districts where 42
into many fantastic forms 115
into many fragments which 57
into many political units 121
into many situations where 123
into many situations which 55
into many weaknesses which 41
into mass political action 91
into mass production until 64
into mere annalists whose 106
