if adverse action against 45
if anybody could believe 71
if anybody shows himself 61
if anybody would believe 148
if brethren dwell together 47
if britain found herself 54
if britain would support 119
if britain would withdraw 40
if brought close together 58
if brought under control 83
if charles would imitate 103
if chronic renal failure 40
if congress deems certain 65
if congress would approve 50
if congress would provide 127
if despair could consume 43
if easterly winds prevail 46
if emerson could trundle 50
if everything comes together 118
if everything works according 52
if exalted above himself 42
if females could succeed 69
if fortune turns against 92
if germans would believe 63
if germany moved against 54
if germany would promise 47
if germany would respect 44
if germany would withdraw 46
if matters stood betwixt 58
if mendoza would declare 46
if napoleon would consent 56
if occasion shall require 465
if planted close together 67
if prayers might prevail 73
if present shall preside 83
if science could explain 59
if several group members 52
if several times repeated 69
if seymour would promise 87
if silence gives consent 80
if variable costs increase 50
in abortion rates between 45
in absence rates between 55
in absorbing large numbers 73
in absorbing solar radiation 54
in academy award history 46
in according equal justice 42
in account after account 106
in achieving final victory 68
in achieving local control 194
in achieving racial balance 52
in achieving racial harmony 43
in achieving racial justice 84
in achieving social cohesion 50
in achieving social control 80
in achieving social harmony 84
in achieving social justice 426
in achieving social reforms 40
in achieving total quality 67
in achieving water quality 94
in acquiring human capital 130
in acutely manic bipolar 85
in addition large amounts 105
in addition large numbers 239
in addition shall include 54
in addition small amounts 151
in addition thirty thousand 47
in addition varying amounts 50
in addition would provide 90
in addition would receive 62
in adoption rates between 45
in adrenal gland function 59
in advance about certain 53
in advance about everything 91
in advance every question 47
in advance shall perform 66
in advance which aspects 111
in advance which factors 64
in advance which features 174
in advance which objects 103
in advance which outcome 46
in advance which patient 50
in advance which persons 47
in advance while reserving 40
in advance would require 43
in advancing human welfare 187
in advancing social justice 116
in advancing social welfare 129
in aesthetic breast surgery 61
in aesthetic facial surgery 55
in affairs which concern 664
in affairs which require 84
in affecting human behavior 134
in african civil society 57
in african farming systems 208
in african green monkeys 763
in african legal systems 69
in african rural society 71
in african slave systems 214
in african social research 193
in african social science 58
in african social studies 78
in african social systems 42
in african trade unionism 160
in african urban centers 91
in african urban society 67
in african urban studies 902
in alabama power company 64
in alluvial river valleys 110
in amazingly large numbers 114
in ambient water quality 134
in america about fifteen 50
in america could exhibit 60
in america could explain 52
in america could pretend 88
in america could produce 56
in america could provide 63
in america feels himself 50
in america finds himself 85
in america first appeared 108
in america found himself 59
in america might produce 44
in america nearly doubled 50
in america party loyalty 64
in america since colonial 1044
in america since lincoln 48
in america since slavery 66
in america still remains 50
in america today because 199
in america today believe 40
in america today between 58
in america under general 44
in america under present 43
in america under similar 44
in america until general 89
in america until january 42
in america until october 48
in america until webster 46
in america where everything 65
in america where freedom 85
in america where slavery 60
in america where society 110
in america where written 45
in america which appeared 113
in america which brought 69
in america which carlyle 99
in america which possess 61
in america whose limited 103
in america whose members 79
in america whose parents 173
in america would believe 59
in america would benefit 80
in america would improve 45
in america would include 56
in america would increase 50
in america would produce 109
in america would provide 108
in america would receive 94
in america would require 295
in america would suggest 53
in america would support 48
in amniotic fluid between 64
in amniotic fluid increase 54
in amniotic fluid optical 57
in amniotic fluid samples 240
in amounts varying according 139
in amounts varying between 394
in amounts which combine 47
in amounts which increase 53
in analyzing human behavior 236
in analyzing labor markets 174
in analyzing social behavior 67
in analyzing social systems 95
in ancient athens richard 42
in ancient burial grounds 99
in ancient china because 48
in ancient china between 41
in ancient court costume 52
in ancient craft masonry 136
in ancient egypt because 126
in ancient egypt between 84
in ancient egypt egyptian 41
in ancient glass paintings 108
in ancient gothic letters 40
in ancient greek costume 64
in ancient greek culture 2773
in ancient greek history 1352
in ancient greek language 41
in ancient greek legends 58
in ancient greek letters 76
in ancient greek medical 69
in ancient greek religion 463
in ancient greek rituals 68
in ancient greek science 80
in ancient greek society 5403
in ancient greek sources 96
in ancient greek temples 67
in ancient greek tragedy 529
in ancient greek warfare 55
in ancient greek writers 56
in ancient hindu culture 70
in ancient hindu history 64
in ancient hindu society 195
in ancient human history 82
in ancient human remains 324
in ancient indian culture 502
in ancient indian history 3289
in ancient indian medical 59
in ancient indian religion 83
in ancient indian society 836
in ancient indian warfare 78
in ancient irish history 164
in ancient irish society 59
in ancient israel because 88
in ancient israel between 40
in ancient legal systems 94
in ancient river gravels 187
in ancient river valleys 112
in ancient roman buildings 168
in ancient roman costume 147
in ancient roman culture 94
in ancient roman history 290
in ancient roman religion 99
in ancient roman society 374
in ancient slave society 66
in ancient story wonders 40
in ancient tamil society 413
in ancient times according 77
in ancient times adorned 55
in ancient times against 231
in ancient times allowed 41
in ancient times applied 76
in ancient times because 633
in ancient times belonged 194
in ancient times between 668
in ancient times brought 91
in ancient times carried 124
in ancient times certain 109
in ancient times chinese 84
in ancient times claimed 46
in ancient times covered 203
in ancient times crossed 40
in ancient times derived 50
in ancient times divided 186
in ancient times enjoyed 88
in ancient times entered 66
in ancient times existed 90
in ancient times include 44
in ancient times persons 43
in ancient times religion 121
in ancient times remains 48
in ancient times several 110
in ancient times subject 121
in ancient times usually 63
in ancient verse relates 61
in ancient world systems 151
in animals after division 59
in animals after removal 210
in animals after repeated 40
in animals given vitamin 42
in animals under certain 85
in animals under general 43
in animals under natural 120
in animals which possess 286
in animals which produce 45
in animals which recover 46
in animals which survive 143
in animals whose behavior 59
in animals whose nervous 53
in animals whose parents 129
in answering every question 144
in answering royal salutes 42
in anxiety level between 120
in anywise agree therewith 62
in applied social research 2377
in applied social science 2828
in applied social studies 1073
in archaic greek culture 51
in archaic greek society 59
in arrival times between 259
in arterial blood because 64
in arterial blood lactate 65
in arterial blood samples 154
in arterial blood vessels 72
in article after article 985
in ascending order according 2008
in ascending order because 69
in ascending order beginning 108
in assault after assault 75
in assessing human behavior 113
in assessing liver function 56
in assessing renal function 243
in assessing taxes imposed 194
in assessing water quality 198
in assisting small farmers 46
in attaining social justice 60
in attempt after attempt 66
in average blood glucose 56
in average costs between 98
in average earnings between 439
in average human capital 70
in average plate current 354
in average score between 85
in average stock returns 80
in average wages between 250
in average yield between 85
in balance sheet account 61
in balance sheet amounts 131
in balance sheet figures 70
in bankers trust company 62
in batches until browned 79
