if an abstract noun 45
if an accident puts 107
if an accident took 51
if an accident were 426
if an accounting firm 232
if an accurate reading 53
if an activity were 81
if an adequate diet 148
if an adequate dose 168
if an adequate flow 69
if an adequate range 48
if an adequate rate 57
if an adequate theory 155
if an adequate trial 55
if an advocate were 47
if an aircraft were 103
if an airplane were 110
if an american army 77
if an american buys 90
if an american cook 132
if an american firm 395
if an american girl 74
if an american says 46
if an american ship 217
if an american were 436
if an ammonium salt 66
if an analysis were 178
if an approach were 40
if an argument from 85
if an argument were 133
if an artistic work 54
if an assassin were 41
if an assembly line 95
if an assembly were 61
if an attacker ever 40
if an attacker gets 69
if an attacker uses 47
if an attacker were 166
if an attorney were 110
if an audience were 229
if an authority were 46
if an auxiliary verb 47
if an earthquake came 42
if an earthquake hits 200
if an earthquake rent 332
if an earthquake were 675
if an economic loss 42
if an economic theory 58
if an electric bulb 42
if an electric lamp 84
if an electron from 94
if an electron moving 49
if an electron were 316
if an elephant were 304
if an employee acts 95
if an employee asks 139
if an employee brings 72
if an employee dies 440
if an employee earns 243
if an employee gets 191
if an employee left 82
if an employee made 55
if an employee must 204
if an employee pays 122
if an employee says 68
if an employee sees 51
if an employee sues 72
if an employee took 52
if an employee uses 384
if an employee were 658
if an employee will 100
if an employer acts 78
if an employer asks 160
if an employer fail 51
if an employer made 62
if an employer must 45
if an employer paid 102
if an employer pays 449
if an employer says 63
if an employer sets 45
if an employer took 42
if an employer used 89
if an employer uses 172
if an employer were 510
if an employer will 53
if an engineering firm 112
if an enormous giant 372
if an enormous hand 53
if an entrance into 61
if an epidemic took 64
if an epidemic were 114
if an essential part 447
if an estimate were 67
if an exception were 386
if an execution were 51
if an executor pays 65
if an exemption from 244
if an exemption were 135
if an explosion took 70
if an explosion were 142
if an extended stay 70
if an extension cord 51
if an extension were 138
if an external load 130
if an external threat 48
if an external will 107
if an historian were 69
if an identity thief 54
if an idolater fall 129
if an immediate sale 40
if an immortal soul 40
if an immunity from 99
if an impartial jury 70
if an incident like 71
if an incident such 49
if an incident wave 94
if an incident were 56
if an increased rate 60
if an increased risk 99
if an induction were 56
if an industry were 152
if an infinite line 71
if an inflation were 45
if an innocent third 101
if an instance were 64
if an integral part 280
if an interest rate 579
if an interest were 61
if an internal bond 44
if an internal node 59
if an internet user 73
if an interval were 56
if an intruder came 58
if an intruder gets 54
if an intruder were 153
if an inventor were 60
if an investor buys 472
if an investor held 46
if an investor must 44
if an investor owns 162
if an investor pays 88
if an investor puts 42
if an investor were 225
if an irishman were 50
if an objection were 54
if an observer from 44
if an observer sees 112
if an observer were 557
if an obstacle were 67
if an offender were 90
if an operation must 50
if an operation were 272
if an operation will 44
if an operator were 113
if an opponent were 44
if an opposite view 50
if an ordinary life 93
if an ordinary week 44
if an organism were 148
if an oriental city 64
if an original work 73
if an otherwise good 49
if an outsider came 55
if an outsider were 195
if at increased risk 65
if at midnight from 56
if at opposite ends 43
if by accident into 75
if by accident made 71
if by accident some 108
if by accident there 283
if by accident upon 71
if by accident when 43
if by forcible means 68
if by instinct from 59
if by instinct into 55
if by instinct what 118
if by instinct when 44
if by majority vote 64
if by ordinary care 141
if by pressure from 47
if he abstains from 1035
if he accepted some 45
if he accepted such 436
if he accepted their 299
if he accepted these 143
if he accepted what 146
if he achieved nothing 56
if he achieves some 59
if he acquired some 49
if he acquired such 45
if he acquires more 114
if he acquires some 99
if he acquires such 61
if he acquires wealth 51
if he actually came 123
if he actually ever 58
if he actually felt 200
if he actually gave 70
if he actually gets 73
if he actually heard 108
if he actually held 88
if he actually knew 521
if he actually left 45
if he actually made 247
if he actually meant 235
if he actually owns 52
if he actually paid 74
if he actually pays 62
if he actually said 210
if he actually sees 56
if he actually told 59
if he actually took 202
if he actually used 97
if he actually uses 42
if he actually went 204
if he actually were 614
if he admitted having 52
if he admitted such 78
if he admitted their 114
if he admitted what 47
if he advanced into 64
if he advanced upon 67
if he advances into 66
if he answered their 46
if he approved such 91
if he approved their 54
if he approves such 48
if he approves what 54
if he attacked these 76
if he attacked those 58
if he attempts more 164
if he attempts such 177
if he attempts upon 70
if he attended only 64
if he attended well 99
if he believed some 47
if he believed such 446
if he believed their 128
if he believed there 1644
if he believed these 139
if he believed those 80
if he believed what 950
if he believes nothing 51
if he believes only 68
if he believes other 63
if he believes such 476
if he believes their 52
if he believes there 1576
if he believes these 134
if he believes what 363
if he benefits from 90
if he bestowed life 66
if he borrowed from 203
if he censures those 106
if he commands what 72
if he concealed from 88
if he consider well 90
if he consults only 65
if he consumes more 143
if he declined some 69
if he declined such 92
if he demanded from 52
if he demanded more 182
if he demanded nothing 48
if he demanded peace 120
if he departed from 597
if he depended only 63
if he depended upon 423
if he descends into 101
if he deserted from 56
if he deserved some 71
if he deserved such 71
if he deserves such 43
if he designed some 59
if he desisted from 146
if he despised their 43
if he despised those 100
if he detaches much 56
if he detected there 57
if he differed from 791
if he directly knew 44
if he dislikes what 100
if he disobeys such 68
if he dissents from 198
if he diverged from 77
if he diverges from 108
if he divulged what 41
if he embarked upon 83
if he employed from 54
if he employed only 55
if he employed some 81
if he entirely omit 46
if he examines what 108
if he expected ever 48
if he expected help 70
if he expected less 149
if he expected more 703
if he expected much 248
if he expected nothing 253
if he expected peace 40
if he expected some 1390
if he expected soon 49
if he expected such 216
if he expected their 122
if he expected there 168
if he expected these 46
if he followed only 131
if he followed some 50
if he followed such 139
if he followed their 208
if he followed these 131
if he followed what 41
if he followed your 50
if he happened also 45
if he happened upon 225
if he honestly felt 44
if he imagined nothing 63
if he imagined there 60
if he imagines there 98
if he included these 44
if he indorses over 43
if he indulges these 52
if he inquired into 61
if he inquires into 73
if he insisted upon 2598
if he intended coming 51
if he intended ever 95
if he intended leaving 40
if he intended making 74
if he intended nothing 123
if he intended only 91
if he intended some 74
if he intended taking 106
if he listened hard 218
if he listened more 40
if he listened only 53
if he listened very 75
if he neglects these 154
if he neglects those 51
if he neglects what 47
if he observes nothing 45
if he observes such 42
if he observes these 61
if he obtained from 46
if he obtained more 109
if he obtained only 41
if he obtained some 87
if he obtained such 67
if he obtained what 42
if he occupied less 57
if he operates singly 71
if he performs good 44
if he performs only 56
if he performs some 139
if he performs such 127
if he performs these 68
if he performs those 54
if he performs well 223
if he persists over 153
if he presided over 204
if he proceeds from 72
if he proceeds upon 115
if he produced less 47
if he produced more 178
if he produced nothing 42
if he produced only 129
if he produced such 97
if he produces less 138
if he produces more 387
if he produces nothing 50
if he produces only 163
if he profited from 42
if he proposed some 69
if he provided some 43
if he questions such 71
if he recalled having 59
if he recalled their 43
if he recalled what 90
if he received cash 43
if he received five 51
if he received from 198
if he received full 41
if he received gold 347
if he received good 56
if he received half 233
if he received less 154
if he received many 45
if he received more 470
if he received much 45
if he received news 51
if he received none 46
if he received nothing 113
if he received only 392
if he received some 150
if he received such 554
if he received three 113
if he received what 44
if he received your 70
if he receives cash 67
if he receives from 206
if he receives good 92
if he receives less 545
if he receives more 662
if he receives nothing 72
if he receives only 336
if he receives rent 115
if he receives some 151
if he receives such 298
if he receives what 45
if he receives your 41
if he recoiled from 74
if he recovers from 447
if he recovers less 236
if he referred only 94
if he reflects upon 278
if he refrains from 2081
if he regarded such 44
if he regarded their 57
if he rejected their 208
if he rejected these 56
if he relapsed into 78
if he relapses into 69
if he remained among 82
if he remained away 249
if he remained calm 61
if he remained firm 420
if he remained free 119
if he remained here 412
if he remained idle 40
if he remained more 50
if he remained much 479
if he remained only 42
if he remained poor 52
if he remained single 91
if he remained there 2534
if he remained true 350
if he remained very 62
if he repelled your 73
if he repented having 58
if he reported what 49
if he requests such 41
if he required more 236
if he required some 62
if he required their 56
if he requires more 310
if he requires such 45
if he requires their 75
if he resented having 104
if he resigned from 453
if he resisted their 64
if he resolved upon 98
if he respects their 48
if he responds only 41
if he responds well 85
if he retained some 63
if he retreated from 72
if he returned from 862
if he returned here 57
if he returned home 2592
if he returned into 95
if he returned late 110
if he returned safe 243
if he returned there 559
if he scarcely heard 46
if he scarcely knew 279
if he seriously meant 95
if he squinted hard 41
if he stumbled into 92
if he stumbled over 287
if he stumbled upon 109
if he stumbles over 49
if he stumbles upon 98
if he succeeds once 128
if he succeeds there 57
if he succeeds will 50
if he suddenly came 145
if he suddenly died 86
if he suddenly felt 326
if he suddenly gets 49
if he suddenly heard 48
if he suddenly lost 132
if he suddenly sees 58
if he suddenly took 62
if he suddenly went 52
if he suddenly were 91
if he suddenly woke 57
if he suffered from 1916
if he suffered harm 255
if he suffered heavy 51
if he suffered more 114
if he suffered much 636
if he suffered nothing 157
if he suffered pain 152
if he suffered some 81
if he suffered such 196
if he suffered very 65
if he supposed there 224
if he supposes such 103
if he supposes there 50
if he survived these 63
if he survives such 44
if he suspects some 51
if he suspects there 113
if he switched from 47
if he triumphs over 47
if he vanished from 49
if he vanished into 43
if he ventured down 84
if he ventured forth 80
if he ventured from 47
if he ventured into 530
if he ventured upon 172
if he ventures forth 66
if he ventures into 331
if he ventures upon 77
if he wandered away 45
if he wandered from 101
if he wandered into 90
if he withdraws from 725
if he withdraws into 63
if he withholds from 87
if he wondered what 708
if in compound hues 50
if in constant pain 47
if in everyday life 62
if in fourteen years 47
if in immediate dread 280
if in isolation from 78
if in modified form 395
if in ordinary life 79
if in passages such 104
if in physical dread 70
if in physical pain 402
if in practice many 42
if in practice only 71
if in practice some 59
if in practice such 232
if in practice their 60
if in practice there 386
if in practice these 76
if in preferring those 44
if in profound peace 52
if in skirmish line 45
if in somewhat less 221
if in somewhat more 51
if in terrible pain 224
if it abstains from 136
if it accepted such 58
if it achieved nothing 166
if it achieves nothing 119
if it achieves some 70
if it achieves what 163
if it actually acts 47
if it actually came 434
if it actually gets 59
if it actually leads 50
if it actually made 58
if it actually means 57
if it actually meant 63
if it actually took 440
if it actually uses 45
if it actually went 46
if it actually were 698
if it affected only 665
if it affected their 176
if it amounted only 111
if it attacked iraq 53
if it attracts more 41
if it believed such 44
if it believed there 65
if it believes such 264
if it believes there 443
if it benefits from 123
if it benefits only 173
if it benefits some 48
if it benefits their 53
if it borrowed from 45
if it casually fell 49
if it concealed some 73
if it concerns more 97
if it concerns only 593
if it concerns some 84
if it concerns such 130
if it concerns their 67
if it concerns what 59
if it concerns your 75
if it confirms their 43
if it confirms what 48
if it confirms your 46
if it consists only 942
if it consumes more 144
if it contains also 85
if it contains clay 40
if it contains data 507
if it contains even 470
if it contains five 96
if it contains food 70
if it contains four 191
if it contains free 170
if it contains from 73
if it contains gold 125
if it contains good 77
if it contains hard 41
if it contains high 89
if it contains ideas 49
if it contains iron 160
if it contains just 119
if it contains less 1959
if it contains lime 61
if it contains many 571
if it contains milk 40
if it contains more 6686
if it contains much 1716
if it contains none 104
if it contains nothing 468
if it contains only 6232
if it contains other 223
if it contains over 279
if it contains salt 62
if it contains some 1347
if it contains such 310
if it contains text 112
if it contains these 88
if it contains those 45
if it contains three 528
if it contains truth 42
if it contains very 100
if it contains what 290
if it contains your 57
if it contains zero 113
if it continue such 75
if it controls more 46
if it conveyed some 41
if it delivers what 41
if it demanded more 41
if it departed from 267
if it depended only 605
if it depended upon 4727
if it descends from 107
if it descends into 112
if it descends upon 50
if it descried what 49
if it deserved such 56
if it deserves such 610
if it desisted from 45
if it destroys your 53
if it detracts from 403
if it develops along 42
if it develops during 105
if it develops from 96
if it develops into 553
if it develops more 101
if it develops over 49
if it devolved upon 74
if it differed from 1242
if it displays some 70
if it disturbs your 57
if it diverged from 83
if it diverges from 169
if it effected nothing 133
if it emanated from 1048
if it emanates from 852
if it embodies some 53
if it embraced only 84
if it employed more 62
if it enhances their 71
if it enhances your 86
if it entailed some 86
if it exceeded three 89
if it excluded their 140
if it excluded those 40
if it excludes from 68
if it excludes some 53
if it exhibits nothing 68
if it exhibits some 90
if it expected some 85
if it explains more 157
if it explains these 52
if it explains what 47
if it extended from 96
if it extended into 102
