iambic foot consists of 136
ideals have resulted in 45
ideals have suffered no 65
ideals into practice as 89
ideals into practice at 44
ideals into practice by 124
ideals into practice in 374
ideals into practice is 88
ideals were destined to 56
ideals were embodied in 295
ideals were regarded as 136
ideals were replaced by 65
ideals were supposed to 52
ideals were tempered by 60
ideals will continue to 107
idols were confined to 41
idols were replaced by 60
idols were stripped of 86
idols were supposed to 68
ileum just proximal to 140
image also functions as 52
image also includes the 91
image also reflects the 67
image also suggests the 162
image came suddenly on 63
image data acquired by 159
image data consists of 150
image data obtained by 138
image data produced by 156
image data provided by 124
image ever adequate to 53
image file consists of 107
image file containing the 112
image file contains the 71
image from negative to 68
image from positive to 59
image into thousands of 114
image leads directly to 44
image made possible by 84
image must continue to 51
image must therefore be 204
image rule requires the 86
image size produced by 180
image size relative to 57
image were produced by 55
image when compared to 141
image will actually be 41
image will approach the 42
image will continue to 353
image will indicate the 51
image will obviously be 44
image will probably be 228
image will resemble the 53
image will therefore be 224
imaging have improved the 44
imaging have resulted in 69
imaging when compared to 91
imaging will continue to 319
impel other soldiers to 102
impinge less directly on 48
impinge more directly on 350
impinge more seriously on 40
impinge most directly on 654
impinge upon questions of 44
impinge very directly on 131
imply less emphasis on 41
imply more emphasis on 44
imply nothing concerning the 41
imply nothing contrary to 90
imply nothing whatever as 151
imply some reduction in 88
imply some standard of 76
imply their approval of 49
imply wide surfaces of 65
incur great expenses in 54
incur heavy expenses in 166
incur heavy expenses on 59
incur less disgrace if 68
incur other expenses in 42
incur some expenses in 50
incur such disgrace in 49
incur such expenses as 971
incur such expenses in 169
incur these expenses in 47
index also contains the 45
index also includes the 129
index card attached to 51
index card containing the 63
index card contains the 87
index file consists of 60
index file containing the 157
index file contains the 121
index finger alongside the 96
index finger approach to 116
index finger contacts the 83
index finger controls the 60
index finger directly at 133
index finger directly on 40
index finger extended as 174
index finger extended in 69
index finger extended to 103
index finger extension of 42
index finger followed by 52
index finger followed the 40
index finger inserted in 144
index finger palpates the 141
index finger parallel to 94
index finger squeezed the 45
index finger straight at 87
index finger straight up 271
index finger underneath the 54
index fund designed to 43
index must therefore be 89
index only includes the 44
index were included in 58
index were observed in 50
index were obtained by 70
index were prepared by 44
index when compared to 131
index will continue to 149
index will indicate the 191
index will probably be 84
index will therefore be 54
inert mass impelled by 49
infer from evidence of 74
infer from passages in 79
infer nothing respecting the 53
infer nothing whatever as 53
infer their presence by 85
infer their presence in 135
infer what happened in 111
infer what happened to 122
infer will continue to 76
inner bark consists of 81
inner bone receives the 77
inner cell membrane of 72
inner city children in 139
