ice between greenland and 119
idea appeared connected with 49
idea becomes associated with 42
idea becomes prevalent that 83
idea closely associated with 199
idea closely connected with 115
idea usually associated with 100
idea usually connected with 42
ill effects associated with 265
ill founded jealousies and 228
ill presage advisedly she 41
its absence accounted for 273
its absence augmented his 49
its absence indicates that 279
its absence irritates him 40
its adjoining territory for 283
its aesthetic character and 92
its aesthetic qualities and 386
its aesthetic qualities are 114
its aesthetic qualities but 99
its affairs discussed and 66
its african neighbors and 51
its african population was 40
its agrarian structure and 51
its alleged agreement with 45
its alleged association with 228
its alleged connection with 305
its amended complaint that 101
its ancient appearance and 66
its ancient association with 298
its ancient character and 186
its ancient character for 69
its ancient character has 48
its ancient character than 45
its ancient connection with 399
its ancient dignities was 101
its ancient doctrines and 69
its ancient fertility and 59
its ancient furniture and 89
its ancient influence and 40
its ancient liberties and 804
its ancient monuments and 323
its ancient monuments are 75
its ancient political and 57
its ancient population and 54
its ancient practices and 59
its ancient reputation and 81
its ancient reputation for 278
its ancient traditions and 640
its animating principle and 95
its animating principle with 57
its anterior extremity and 159
its anterior extremity being 50
its anterior extremity with 120
its antique furnishings and 63
its antique furniture and 169
its archaic character and 61
its arrival coincided with 243
its arrival coincides with 61
its assumed association with 62
its assumed connection with 56
its average covariance with 93
its average dimensions are 56
its baleful influence and 63
its baleful influence has 42
its baneful influence and 210
its baneful influence far 53
its baneful influence has 83
its baneful influence was 62
its baneful influence with 54
its baneful particles and 54
its beauties intrinsic and 133
its beginning coincided with 87
its beginning coincides with 173
its beginning inventory and 75
its behavior indicates that 48
its behavior resembles that 89
its belated appearance and 65
its blatant disregard for 225
its blessings throughout his 48
its borrowing operations and 76
its brigade commander nor 42
its british character and 40
its broader political and 172
its broader suggestion that 93
its burgeoning population and 145
its callous disregard for 258
its canadian subsidiary and 60
its capital equipment and 230
its capital intensity and 98
its capital resources and 191
its capital resources are 66
its capital structure and 1136
its capital structure are 47
its capital structure has 49
its capital structure may 61
its capital structure than 80
its capital structure that 124
its capital structure was 88
its capital structure with 80
its catholic character and 103
its catholic population was 50
its cautious provisions and 51
its central assumption that 334
its central character and 392
its central character are 42
its central character has 64
its central character not 41
its central character was 200
its central character who 43
its central character with 51
its central committee and 1533
its central committee are 142
its central committee for 80
its central committee had 129
its central committee that 50
its central committee was 171
its central conception that 45
its central contention that 220
its central courtyard and 85
its central doctrines and 79
its central executive and 41
its central leadership and 51
its central objective was 86
its central political and 79
its central principle and 63
its central principle that 169
its central principle was 80
its central structure and 42
its charges reasonable and 52
its chinese population and 43
its chinese population was 44
its civilian component and 91
its civilian employees and 65
its civilian population and 318
its civilian population had 44
its civilian population was 75
its classic expression and 42
its clearest expression and 160
its clearest expression was 48
its climate resembles that 53
its closest association with 52
its closest connection with 101
its closest encounter with 65
its closest neighbors and 68
its closest parallels are 89
its closest parallels with 78
its closest relatives are 304
its coastal fisheries for 92
its coercive apparatus for 140
its coercive influence with 130
its colonial character and 55
its command structure and 272
its command structure was 94
its compact structure and 143
its complex character and 121
its complex conjugate and 309
its complex conjugate are 132
its complex interplay with 54
its complex machinery and 78
its complex phenomena and 46
its complex political and 108
its complex structure and 681
its complex structure with 42
its content indicates that 121
its content providers are 258
its context indicates that 103
its control structure and 58
its control throughout all 59
its corrupt practices and 78
its country population than 73
its critics suggested that 81
its crystal structure and 422
its crystal structure has 171
its crystal structure was 137
its current agreement with 47
its current association with 115
its current challenges and 46
its current customers and 99
its current customers are 46
its current directors and 254
its current employees and 65
its current interests and 60
its current leadership and 63
its current operations and 292
its current operations are 89
its current political and 257
its current population and 80
its current practices and 130
its current president and 62
its current processes and 49
its current production and 87
its current relevance and 46
its current resources and 109
its current structure and 330
its current widespread use 103
its cynical disregard for 72
its darkest mysteries are 42
its decimal multiples and 87
its decision conditions and 79
its decision conflicts with 100
its decline coincided with 94
its deepest gratitude for 43
its deepest instincts and 58
its defense agreement with 85
its delayed appearance and 45
its densely populated and 47
its diseased conditions are 46
its diurnal revolution and 63
its diverse interests and 113
its diverse population and 151
its drought tolerance and 78
its dynamic character and 287
its dynamic connection with 54
its dynamic interplay with 64
its dynamic qualities and 67
its dynamic structure and 73
its dynamic structure can 59
its earliest advocates and 58
its earliest appearance and 73
its earliest appearance was 59
its earliest association with 55
its earliest exponents was 64
its earliest expression was 44
its earliest successes was 44
its effects persisted for 53
its elastic constants and 53
its elastic constants are 53
its election campaigns and 57
its election manifesto and 214
its election manifesto for 156
its election manifesto had 99
its election manifesto that 412
its election manifesto was 61
its elegant appearance and 95
its elegant furnishings and 76
its elegant structure and 46
its elitist character and 72
its endless conflicts and 41
its endless corridors and 117
its endless privations and 99
its endless repetition and 52
its enemies whomsoever they 45
its enviable reputation for 83
its equally persevering and 41
its essence identical with 201
its eternal freshness and 57
its european character and 46
its european neighbors and 255
its european operations and 110
its european operations with 42
its european population and 60
its european population was 81
its european territory and 118
its evident association with 43
its evident connection with 203
its evident sincerity and 83
its exalted character and 60
its expanding population and 152
its exploding population and 59
its exports accounted for 102
