iconoclastic fury against the 40
iconographic link between the 68
idiosyncratic side effects of 42
illegitimate union between the 46
illegitimate when applied to 44
illuminations were preparing to 248
illustrations also appeared in 151
illustrations from designs by 395
illustrations from history of 67
illustrations from history or 63
illustrations from paintings by 111
illustrations from several of 50
illustrations have appeared in 1144
illustrations have appeared on 67
illustrations into account as 50
illustrations must suffice to 214
illustrations show details of 58
illustrations were drafted by 61
illustrations were engraved by 121
illustrations were engraved on 40
illustrations were limited to 53
illustrations were painted by 50
illustrations were painted in 117
illustrations were printed by 127
illustrations were printed in 202
illustrations were printed on 77
illustrations will clarify the 227
illustrations will consist of 128
illustrations will explain the 108
illustrations will suffice to 1677
illustrations will suggest the 102
illustrations work together to 86
illustrative case history of 104
illustrative case studies in 83
illustrative case studies of 284
illustrative case studies to 58
imbecilities were excused by 52
impenetrable gate guarded by 57
impenetrable rain forests of 46
impenetrable veil between the 45
impenetrable veil between us 254
impenetrable wall against the 107
impenetrable wall between the 296
impenetrable wall between us 94
impressively clear figures of 45
impressively wide variety of 54
imprisonment only because of 104
imprisonment were imposed in 95
imprisonment were imposed on 361
improvements from taxation in 83
improvements have allowed the 77
improvements have altered the 81
improvements have brought the 65
improvements have enabled the 161
improvements have focused on 64
improvements have lowered the 64
improvements have reduced the 434
improvements made according to 41
improvements made between the 59
improvements were adopted by 97
improvements were adopted in 96
improvements were allowed to 40
improvements were applied to 89
improvements were beginning to 107
improvements were brought to 95
improvements were carried on 403
improvements were devised by 42
improvements were evident in 166
improvements were largely the 58
improvements were limited to 164
improvements were measured in 41
improvements were noticed in 143
improvements were occurring in 46
improvements were realized by 61
improvements were realized in 108
improvements were related to 119
improvements were similar to 54
improvements were subject to 44
improvements were visible in 41
improvements will benefit the 75
improvements will enhance the 82
improvements will include the 60
improvements will increase the 287
improvements will provide the 49
improvements will require the 52
inaccessible from outside the 178
inaccessible were covered by 77
inadequacies when applied to 49
inadmissible when offered as 111
inadmissible when offered by 91
inadmissible when offered to 110
inapplicable here because it 49
inapplicable here because the 159
inapplicable when applied to 76
inappropriate here because it 69
inappropriate here because of 61
inappropriate here because the 139
