ideals into concrete form 69
idols were crumbled into 83
image data acquired from 133
image data obtained from 234
image from everyday life 55
image will probably have 41
imaging have recently been 82
impinge more directly upon 251
impinge most directly upon 108
impinge upon everyday life 100
imply their exclusion from 40
incur tort remedies when 65
index also includes birth 41
index finger extended along 216
index finger extended from 364
index finger inserted into 181
index finger straight down 61
index most commonly used 149
index were obtained from 115
inert when injected into 55
infer have resulted from 40
infer some ultimate fact 48
infer their presence from 387
inner city children from 44
inner city children have 62
inner city children were 42
inner city minority youth 66
inner core inferred from 110
inner face enlarges into 63
inner loop iterates over 145
input data directly from 163
input data directly into 237
input data obtained from 117
input data received from 94
input from magnetic tape 58
input into decisions made 131
issue also contains some 49
issue have recently been 65
issue here concerns what 106
issue here requires some 42
issue will probably have 75
items came directly from 43
items come directly from 46
items from everyday life 281
items have actually been 85
items have recently been 100
items have shortcut keys 41
items have therefore been 50
items most commonly used 103
items were acquired from 68
items were actually used 68
items were borrowed from 242
items were combined into 808
items were compiled from 52
items were deducted from 77
items were excluded from 659
items were exempted from 137
items were fashioned from 50
items were imported from 256
items were imported into 81
items were included among 48
items were included from 47
items were included only 57
items were inserted into 47
items were mentioned more 40
items were modified from 72
items were obtained from 599
items were produced from 52
items were received from 90
items were retained from 47
items were selected from 2158
items were withdrawn from 86
items will probably have 65
