if absent thirty days 40
if abused might tend 79
if actual costs were 76
if albert would play 77
if already looking into 65
if another began even 69
if another chase were 281
if another child hits 90
if another comes into 40
if another method were 60
if another party were 68
if another proof were 50
if another shall come 1297
if another trade union 45
if another voice were 72
if another woman were 84
if another world were 66
if another would come 63
if another would have 41
if anyone apart from 52
if anyone asked what 174
if anyone broke into 45
if anyone cared what 55
if anyone comes along 310
if anyone comes asking 58
if anyone comes back 45
if anyone comes down 104
if anyone comes from 57
if anyone comes here 113
if anyone comes into 129
if anyone could break 80
if anyone could call 99
if anyone could come 217
if anyone could even 44
if anyone could ever 490
if anyone could fail 43
if anyone could feel 49
if anyone could find 859
if anyone could give 369
if anyone could have 2565
if anyone could help 1189
if anyone could hold 40
if anyone could keep 140
if anyone could know 121
if anyone could learn 44
if anyone could lend 47
if anyone could live 83
if anyone could look 65
if anyone could love 90
if anyone could make 871
if anyone could miss 40
if anyone could name 65
if anyone could play 74
if anyone could pull 326
if anyone could reach 78
if anyone could save 250
if anyone could sell 40
if anyone could show 355
if anyone could speak 121
if anyone could spot 41
if anyone could stop 132
if anyone could take 258
if anyone could talk 88
if anyone could teach 77
if anyone could tell 825
if anyone could think 203
if anyone could turn 62
if anyone could walk 49
if anyone could work 77
if anyone draws back 275
if anyone falls into 52
if anyone feels like 137
if anyone gives even 175
if anyone keeps your 46
if anyone kills cain 289
if anyone knows more 52
if anyone knows what 2246
if anyone lived there 282
if anyone lives here 47
if anyone lives there 158
if anyone might have 394
if anyone might know 99
if anyone needs help 461
if anyone needs more 98
if anyone really knew 271
if anyone shall cast 40
if anyone shall dare 47
if anyone shall have 350
if anyone shall take 47
if anyone takes away 1490
if anyone takes what 238
if anyone thinks good 171
if anyone thinks there 57
if anyone wants more 168
if anyone wants some 68
if anyone would call 68
if anyone would care 466
if anyone would come 982
if anyone would dare 191
if anyone would deny 74
if anyone would even 259
if anyone would ever 1347
if anyone would feel 58
if anyone would find 145
if anyone would give 387
if anyone would have 1632
if anyone would help 158
if anyone would hire 59
if anyone would join 69
if anyone would know 880
if anyone would like 2656
if anyone would look 87
if anyone would make 140
if anyone would mind 196
if anyone would miss 130
if anyone would pick 51
if anyone would show 249
if anyone would speak 78
if anyone would stop 78
if anyone would take 504
if anyone would talk 42
if anyone would teach 46
if anyone would tell 135
if anyone would think 203
if anyone would turn 70
if anyone would want 566
if anyone would wish 56
if atomic bombs were 80
if austria could have 63
if battle might only 42
if better terms were 71
if better times were 42
if blacks moved into 82
if blacks would only 155
if butter would melt 43
if canada would have 45
if cancer cells have 187
if chance alone were 383
if chance shall throw 199
if chance would have 66
if changed since last 190
if christ could have 88
if christ would come 45
if christ would have 232
if cicero could have 43
if common people were 46
if common sense were 189
if common sense will 41
if common stock were 83
if courts could deny 65
if covering anything other 48
if diarrhea lasts more 48
if direct labor cost 93
if direct taxes were 54
if dorothy stays here 81
if drinking water were 41
if duties could ever 98
if edmund burke were 74
if edward would once 82
if elijah would come 55
if elinor would ever 135
if energy costs rise 46
if england could give 42
if england could have 184
if england might have 65
if england would come 50
if england would find 129
if england would give 145
if england would have 173
if england would help 64
if england would join 168
if england would make 120
if england would only 259
if england would send 134
if england would take 57
if english goods were 43
if english people were 54
if enough funds were 57
if enough money were 261
if enough people came 59
if enough people care 99
if enough people come 91
if enough people feel 85
if enough people have 129
if enough people join 64
if enough people knew 49
if enough people know 55
if enough people learn 47
if enough people like 53
if enough people make 111
if enough people show 43
if enough people sign 41
if enough people take 83
if enough people tell 77
if enough people think 179
if enough people vote 43
if enough people want 263
if enough people were 401
if enough people will 91
if enough water were 45
if errors occur during 127
if errors occur when 42
if europe could have 42
if europe would have 54
if farther proof were 83
if feelings could ever 42
if flight would have 52
if fossil fuels were 90
if france could have 181
if france could keep 49
if france could only 68
if france throws down 140
if france would come 48
if france would give 163
if france would have 183
if france would help 50
if france would join 111
if france would make 103
if france would only 212
if france would sell 40
