if campfire girls brought 52
if disputes arise between 163
if disputes arose between 79
if elizabeth would consent 43
if everyone acted according 60
if everyone knows exactly 46
if everyone lived according 46
if everyone pulls together 97
if everyone works together 229
if impaired renal function 43
if incurred under article 46
if interest rates decline 3065
if interest rates decrease 506
if interest rates dropped 62
if interest rates increase 2296
if military action against 55
if ministry could prevail 101
if minority group members 110
if mortgage rates decline 47
if occasions shall require 41
if otherwise valid according 168
if possible after receipt 40
if possible still simpler 59
if possible still stronger 60
if practice makes perfect 120
if probable cause existed 188
if problems arise between 46
if questions arise between 96
if questions arise regarding 98
if symptoms occur shortly 54
in abeyance pending decision 82
in abeyance pending receipt 60
in abnormal brain function 49
in abnormal liver function 123
in abortions after induced 48
in absolute final position 481
in absolute methyl alcohol 1246
in absolute terms according 53
in absolute terms against 65
in absolute terms although 104
in absolute terms because 634
in absolute terms between 633
in absolute terms despite 73
in absolute terms torture 215
in absolute value because 122
in absolute value between 248
in absolute value smaller 53
in absorbed solar radiation 113
in abstract terms because 66
in abstract tonal symbols 75
in academic labor markets 134
in academic social science 361
in academic writing because 74
in accident cases involving 52
in accident rates between 133
in accounting method include 55
in accounting method requiring 72
in acoustic tumor surgery 297
in actively growing bacteria 48
in actively growing tissues 377
in activity level between 131
in activity rates between 93
in adaptive learning systems 336
in adaptive social behavior 44
in additive white gaussian 399
in addressing social justice 60
in addressing urban poverty 44
in addressing water quality 53
in adjacent blood vessels 43
in adjacent major grooves 61
in adjacent serial sections 55
in admission rates between 109
in advanced cases because 46
in advanced human carotid 85
in advanced legal systems 47
in advanced level courses 80
in advanced micro devices 80
in advanced renal failure 1385
in advanced writing courses 54
in advocating social justice 46
in advocating social reforms 42
in affected blood vessels 47
in affluent white suburbs 59
in airborne radar systems 67
in alarmingly large numbers 121
in alleviating human suffering 527
in alleviating panic attacks 140
in alleviating rural poverty 333
in allocating costs between 119
in allocating funds between 86
in american banking circles 70
in american banking history 304
in american bible society 70
in american black culture 55
in american black history 74
in american built vessels 81
in american civic affairs 53
in american civic culture 115
in american civil religion 1427
in american civil society 821
in american court systems 93
in american dance history 52
in american ethnic history 738
in american ethnic studies 63
in american grade schools 59
in american housing markets 353
in american indian affairs 203
in american indian culture 7717
in american indian history 3613
in american indian language 90
in american indian religion 361
in american indian schools 67
in american indian society 1058
in american indian stories 257
in american indian studies 1596
in american labor circles 47
in american labor history 9888
in american labor markets 501
in american league history 1102
in american legal circles 139
in american legal culture 252
in american legal history 3989
in american legal studies 100
in american legion affairs 108
in american local history 56
in american money markets 54
in american motion picture 96
in american movie history 109
in american music history 353
in american naval circles 232
in american naval history 1173
in american naval vessels 46
in american negro academy 83
in american negro culture 143
in american negro dialects 922
in american negro history 1255
in american negro slavery 403
in american party history 305
in american penal culture 87
in american penal history 103
in american ports because 52
in american print culture 97
in american prose masters 321
in american racial history 138
in american rural society 238
in american sailing vessels 45
in american short stories 257
in american slave revolts 112
in american social behavior 53
in american social capital 76
in american social circles 53
in american social history 5034
in american social research 73
in american social science 3567
in american social studies 132
in american social welfare 1165
in american sport history 403
in american stage history 171
in american stock exchange 74
in american stock markets 47
in american theater history 884
in american trade unionism 2131
in american urban centers 343
in american urban culture 275
in american urban ghettos 83
in american urban history 1396
in american urban schools 58
in american urban society 285
in american value systems 202
in american voter turnout 84
in american women between 52
in american women writers 832
in antibody titer against 188
in antibody titer between 464
in antibody titer following 68
in appointing board members 54
in approved greek writers 55
in approved metal conduit 103
in arkansas negro schools 104
in articles which appeared 237
in artistic value between 72
in attitude change between 154
in attitude change research 203
in attitude change studies 279
in attracting large amounts 98
in attracting large numbers 929
in attrition rates between 77
in australia since european 82
in australia would provide 54
in australia would require 63
in babylonia about genesis 56
in bargaining power because 53
in bargaining power between 1729
in bargaining units covered 71
in beautiful evening dresses 41
in beautiful extra crimson 80
in beautiful poetic language 60
in beautiful rolling country 49
in beautiful santa barbara 62
in benjamin henry latrobe 54
in biblical times because 93
in birmingham seeks justice 101
in bobwhite quail neonates 133
in boundary layer control 55
in boundary layer research 69
in boundary zones between 70
in bourgeois civil society 63
in bourgeois social science 88
in brackets after certain 45
in brackish water lagoons 40
in brackish water mangrove 41
in brazilian civil society 47
in brazilian slave society 189
in brazilian urban popular 68
in brazilian urban society 40
in brilliant light against 47
in brilliant white needles 56
in bulletin board systems 125
in business cycle research 745
in business cycle studies 119
in business dealings between 86
in business ethics courses 55
in business ethics research 110
in business latin america 64
in business often depends 43
in business shall perform 95
in business since january 55
in business today because 101
in business until october 47
in business whose profits 42
in business would involve 76
in business would require 116
in business writing because 95
in candelas under service 98
in carbonic oxide poisoning 238
in caribbean creole society 164
in caribbean negro religion 76
in caribbean slave society 421
in caribbean women writers 202
in carriages hunting pleasure 63
in casualty clearing stations 283
in cellular growth control 209
in cellular phone systems 42
in cellular water content 125
in cerebral blood vessels 967
in cerebral water content 121
in cervical spine surgery 323
in chancery filed against 121
in chancery shall contain 60
in channeling human behavior 47
in chemical bonding between 51
in chemical bonds between 42
in chemical shift between 439
in childish block letters 53
in children after cochlear 111
in children after genital 57
in children after infancy 89
in children after surgery 106
in children learning spanish 139
in children often results 164
in children under fifteen 1287
in children under general 96
in children under puberty 173
in children under sixteen 147
in children under thirteen 122
in children whose behavior 55
in children whose central 59
in children whose general 78
in children whose language 81
in children whose parents 1974
in children whose primary 67
in children whose tonsils 53
in chimeric mouse embryos 51
in christian feeling between 44
in christian social service 78
in churches whose highest 79
in circuits which require 42
in circular notes payable 42
in clearance rates between 72
in climates where summers 46
in climates where winters 49
in clinical blood samples 66
in clinical nursing courses 68
in clinical nursing research 722
in clinical trials against 166
in clinical trials assessing 48
in clinical trials because 403
in clinical trials comparing 99
in clinical trials include 415
in clinical trials including 66
in clinical trials involving 658
in clinical trials reflect 50
in clinical trials research 147
in collecting blood samples 83
in collecting child support 807
in collecting large amounts 82
in collecting large numbers 104
in collecting lymph vessels 50
in collecting water samples 55
in colorado springs because 55
in colorado springs gazette 116
in colorado state college 90
in colorado state teachers 134
in combined cycle systems 67
in combined sewer systems 204
in commerce shall acquire 1117
in commerce where designs 46
in complete armor entered 63
in complete renal failure 58
in complete short stories 218
in complete social harmony 43
in complete steel revisit 57
in computer aided process 138
in computer based systems 88
in computer music journal 153
in computer music research 191
in computer vision research 225
in computer vision systems 712
in concerns which partake 60
in concrete human affairs 61
in concrete human history 54
in concrete social science 101
in concrete social systems 60
in concrete terms because 132
in concrete terms effects 78
in concrete terms exactly 60
in conducting action research 160
in conducting basic research 154
