ice cream soften slightly 69
idea from actual sensation 140
idea from becoming conscious 114
idea into actual practice 72
idea into something concrete 109
idea made clearly apparent 61
idea made little progress 49
inn were closed securely 50
ions from aqueous solutions 790
ions from dilute solutions 203
ions from proton transfer 58
ions from sodium chloride 51
ions have little tendency 45
its apex pointing downward 251
its apex points downward 84
its axis should coincide 68
its back greatly exceeded 45
its base turned outwards 115
its best phases produced 50
its best prized pictures 55
its best without emotional 48
its bone marrow toxicity 201
its days seemed numbered 41
its early stages attended 44
its early stages consists 43
its early stages produces 75
its early stages requires 48
its even greater potential 62
its eyes looked straight 42
its eyes seemed instinct 136
its face turned backward 49
its face turned downward 50
its fall seemed imminent 145
its food before swallowing 131
its food supply enclosed 61
its four nearest neighbor 55
its free energy decreases 56
its free energy increases 88
its free margin presents 45
its free market economic 59
its free market policies 81
its free public education 44
its full carrying capacity 137
its full design capacity 52
its full effect produced 71
its full market potential 259
its full profit potential 128
its full reality includes 51
its great spreading branches 40
its having become obsolete 53
its high annual rainfall 41
its high carbon monoxide 43
its high carrying capacity 91
its high ground clearance 46
its high initial velocity 48
its high muzzle velocity 81
its high oxygen affinity 68
its high partial pressure 52
its high piercing beginnings 70
its high school football 104
its high school students 518
its high thermal capacity 132
its high thermal expansion 144
its high tuscan basement 52
its high yielding capacity 48
its huge budget deficits 83
its huge market potential 104
its jaws widely extended 49
its just claims enforced 307
its just weight deserves 86
its land reform policies 89
its last lawful monopoly 82
its least fervid condition 41
its legs sticking straight 48
its less mature audience 136
its life almost entirely 41
its lining mucous membrane 312
its load carrying capacity 474
its main active ingredient 64
its main export products 174
its many active volcanoes 57
its many pressing problems 46
its many serious problems 42
its mass number decreases 63
its meaning almost entirely 52
its meaning varies somewhat 99
its more ardent admirers 47
its more ardent devotees 40
its more common relative 157
its more devout citizens 52
its more famous companion 105
its more famous namesake 201
its more famous neighbor 358
its more famous relative 148
its more highly educated 61
its more obvious functions 77
its more obvious physical 55
its more obvious symptoms 47
its more pressing problems 117
its more purely economic 51
its more purely literary 61
its more recent ancestry 46
its more recent decisions 229
its more recent economic 47
its more recent emphasis 63
its more recent evolution 57
its more recent expansion 41
its more recent extension 71
its more recent formation 50
its more recent offshoot 56
its more recent shutdown 43
its more remote relations 41
its more serious elements 49
its more serious problems 49
its more sordid elements 76
its more striking passages 114
its more widely accepted 55
its most active branches 56
its most active citizens 43
its most active condition 69
its most active elements 168
its most active founders 41
its most active ingredient 181
its most active opponent 41
its most active promoter 97
its most alarming symptoms 66
its most ardent admirers 633
its most ardent advocate 368
its most ardent boosters 50
its most ardent champions 426
its most ardent defender 129
