idealization of poverty could 165
identified as animals taken 62
identified as capital leases 44
identified as drought prone 198
identified as factors which 123
identified as legally blind 51
identified as neutron stars 40
identified as occurring within 58
identified as requiring action 44
identified as typhoid fever 44
identified at national level 44
identified at several sites 121
identified at species level 214
identified by careful study 43
identified by certain marks 55
identified by francis bacon 50
identified by generic names 42
identified by genetic testing 241
identified by numbers rather 91
identified by numbers which 90
identified by peptide mapping 164
identified by question marks 42
identified by replica plating 179
identified by screening tests 46
identified by several names 84
identified by several people 121
identified by sigmund freud 100
identified in amniotic fluid 177
identified in ancient times 54
identified in certain cases 77
identified in chapter seven 42
identified in general terms 376
identified in history under 46
identified in porcine brain 91
identified in previous steps 42
identified in rainbow trout 116
identified in samples taken 50
identified in several cases 150
identified in several genes 55
identified in several human 44
identified in several parts 66
identified in several plant 74
identified in several types 42
identified in stained smears 100
identified in tobacco smoke 569
identified on routine chest 63
identified the alleged scene 69
identified the central issue 177
identified the factors which 242
identified the following basic 167
identified the following broad 115
identified the following costs 78
identified the following eight 318
identified the following forms 175
identified the following goals 232
identified the following items 185
identified the following kinds 78
identified the following major 1115
identified the following needs 282
identified the following risks 44
identified the following roles 75
identified the following seven 968
identified the following social 49
identified the following steps 154
identified the following tasks 94
identified the following themes 134
identified the following types 544
identified the primary cause 86
identified the problem which 40
identified the supreme court 45
identified to generic level 97
identified to species level 2986
identified to species where 77
identifies in general terms 67
identifies the central issue 147
identifies the current state 136
identifies the factors which 222
identifies the following basic 72
identifies the following eight 96
identifies the following items 112
identifies the following kinds 41
identifies the following major 131
identifies the following seven 279
identifies the following steps 115
identifies the following types 234
identifies the governing legal 54
identifies the highest level 157
identifies the location where 183
identifies the location within 53
identifies the secured party 52
illegality of certain drugs 47
illuminate my cottage rests 151
illuminate the central themes 41
illuminate the complex social 46
illuminate the current state 81
illuminate the factors which 65
illuminate the present state 65
illuminating the darkest night 83
illustrate an article about 288
illustrate an example where 93
illustrate in general terms 129
illustrate my general point 53
illustrate my general thesis 50
illustrate my present point 41
illustrate the account given 44
illustrate the adjusting entry 63
illustrate the ancient state 62
illustrate the balance sheet 69
illustrate the broader point 95
illustrate the central limit 192
illustrate the central place 46
illustrate the central point 286
illustrate the central themes 63
illustrate the central thesis 63
illustrate the context within 45
illustrate the correct method 113
illustrate the correct usage 69
illustrate the creative power 62
illustrate the current level 50
illustrate the current state 900
illustrate the current trend 62
illustrate the dilemma faced 114
illustrate the dilemma posed 42
illustrate the dilemma which 50
illustrate the diverse forms 52
illustrate the effects which 192
illustrate the extreme danger 45
illustrate the factors which 219
illustrate the following basic 44
illustrate the following facts 135
illustrate the following lines 42
illustrate the following pages 79
illustrate the following point 118
illustrate the following rules 145
illustrate the following terms 460
illustrate the following types 91
illustrate the foregoing point 66
illustrate the foregoing rules 92
illustrate the general facts 45
illustrate the general feeling 116
illustrate the general finding 88
illustrate the general level 46
illustrate the general method 1190
illustrate the general model 44
illustrate the general notion 63
illustrate the general point 2425
illustrate the general rules 173
illustrate the general scope 85
illustrate the general shape 104
illustrate the general state 98
illustrate the general style 102
illustrate the general tenor 155
illustrate the general themes 51
illustrate the general thesis 223
illustrate the general thrust 56
illustrate the general topic 41
illustrate the general trend 787
illustrate the general types 92
illustrate the gradual change 153
illustrate the gradual growth 55
illustrate the gradual shift 50
illustrate the harmony which 57
illustrate the immense power 45
illustrate the opinions which 101
illustrate the peculiar value 46
illustrate the picture which 42
illustrate the poetical works 41
illustrate the popular feeling 64
illustrate the position taken 123
illustrate the position which 107
