image i carried with 42
imaging a patient with 64
imply a beginning and 74
imply a certain set 42
imply a certain way 45
imply a complex and 41
imply a concern for 261
imply a concern with 252
imply a disdain for 50
imply a general and 91
imply a gradual and 49
imply a license for 44
imply a primary act 91
imply a problem with 88
imply a process that 154
imply a promise and 86
imply a promise for 51
imply a promise not 66
imply a promise that 299
imply a radical and 50
imply a relation with 43
imply a request for 141
imply a respect for 212
imply a respect that 137
imply a rupture with 71
imply a support for 44
imply a sympathy with 62
imply a uniform and 46
imply a victory for 46
incur a certain and 45
incur a deficit and 42
incur a penalty for 440
incur a penalty not 7666
incur a penalty tax 45
infer a general law 552
input a message and 50
input a program and 45
issue a central one 88
issue a charter for 358
issue a citation and 173
issue a citation for 769
issue a citation with 189
issue a command and 460
issue a command for 425
issue a command that 1681
issue a command using 129
issue a command with 105
issue a decision and 170
issue a decision for 136
issue a decision that 639
issue a general ban 48
issue a license and 132
issue a license for 2561
issue a mandate for 369
issue a mandate that 175
issue a message and 129
issue a message that 73
issue a national one 100
issue a petition for 41
issue a precept for 140
issue a priority for 109
issue a receipt and 101
issue a receipt for 2841
issue a request and 139
issue a request for 2995
issue a request that 175
issue a revised and 162
issue a subpoena and 310
issue a subpoena for 2526
issue a summons and 1895
issue a summons for 3359
issue a summons that 42
issue a voucher for 168
issue a warrant and 1122
issue a warrant for 29981
issue a warrant that 112
issue a warrant was 383
issue i believe that 93
issuing a charter for 66
issuing a citation and 119
issuing a citation for 94
issuing a command and 300
issuing a command for 60
issuing a command that 348
issuing a command with 153
issuing a decision that 143
issuing a license and 46
issuing a license for 318
issuing a mandate for 87
issuing a precept for 182
issuing a receipt for 256
issuing a request and 60
issuing a request for 604
issuing a subpoena for 228
issuing a summons and 94
issuing a summons for 256
issuing a warrant and 47
issuing a warrant for 1765
issuing a warrant may 50
issuing a warrant was 272
