goodly number of interpreters who 42
greater access to contraception and 47
greater amount of consideration than 163
greater amount of independence and 59
greater amount of intelligence and 59
greater amount of intelligence than 82
greater changes in intelligence than 46
greater choice of difficulties and 112
greater degree of collaboration and 50
greater degree of collaboration with 42
greater degree of communication and 81
greater degree of completeness than 55
greater degree of concentration and 134
greater degree of concentration than 189
greater degree of consciousness and 52
greater degree of consciousness than 74
greater degree of consideration and 70
greater degree of consideration than 132
greater degree of independence and 771
greater degree of independence for 331
greater degree of independence than 1107
greater degree of independence was 58
greater degree of intellectual and 52
greater degree of intelligence and 228
greater degree of intelligence than 217
greater degree of interference with 68
greater degree of mechanization and 49
greater degree of metamorphism than 48
greater degree of participation and 115
greater degree of participation than 85
greater degree of significance and 116
greater degree of specialization and 263
greater degree of specialization than 224
greater degree of steadfastness and 49
greater degree of subservience than 49
greater degree of transparency and 117
greater detail the requirements for 40
greater effect on productivity than 57
greater impact on productivity than 66
greater levels of independence and 40
greater levels of productivity and 73
greater levels of transparency and 43
greater measure of independence and 235
greater measure of independence for 93
greater measure of independence than 286
greater number of alternatives and 55
greater number of alternatives than 54
greater number of organizations than 41
greater number of participants and 92
greater number of participants than 54
greater number of satisfactions for 57
greater powers of concentration and 82
greater powers of concentration than 41
greater spirit of independence and 61
greater spirit of independence than 99
greatly helped by conversations with 50
