gallant navy which rode in 52
gallant ship would gird on 48
galleys were either sunk or 53
galloping from every side to 189
galloping many miles from the 55
gallows threw gloom over the 117
gardens were given over to 44
gardens were taken over by 60
gardens were thrown open to 259
gateway hour after hour in 51
gathered during field work in 51
gathered from every part of 1116
gathered from every side to 58
gathered from every walk of 47
gathered like flies over the 299
gathered some leaves from the 51
gathered some seeds from the 57
general body meeting held on 47
general case where there is 233
general good feeling among the 51
general good feeling there is 60
general ideas about what is 54
general ideas which form the 48
general ideas would seem to 85
general rule arising from the 43
general rule holds good in 60
general rule where there is 94
general rule which must be 96
general rule which will be 119
general rule would have to 44
general rule would seem to 475
general term often used to 155
general theory might give it 57
general theory which will be 42
general theory would have to 80
general there would seem to 64
general truth which will be 49
general view would seem to 42
general were thrown into the 40
general what truths have to 92
general will arising from the 63
general yell burst from the 83
generic name comes from the 304
generic term often used to 57
glanced from every part of 57
glances into every bush we 74
glasses upon cooling from the 68
glorious high throne from the 240
glorious mind lifts thine on 193
glosses have crept into the 71
gorgeous gold chain till at 56
governing body shall have the 354
governing body would have to 44
granted even though there is 49
granted jury trials only in 42
granted only after hearing on 81
granted only where there is 215
gratify their basic need to 167
gravity will shift from the 46
greatest care would have to 143
greatest evil arising from the 70
greatest evil arose from the 119
greatest ideas often come to 62
greatest threat comes from the 104
grossly clad which from the 104
grounds there would seem to 49
grounds upon which life is 52
grounds upon which some of 49
grounds upon which such an 162
grounds were burnt like the 48
grounds were given over to 48
grounds were taken over by 97
grounds were thrown open to 176
guarded from every breath of 48
guessed what would come to 60
