gas chambers were used to 102
gas pipeline from iran to 429
gas turbines fall into the 64
gay laughter pealing forth at 100
get adequate help from the 51
get anywhere else what it 148
get anywhere from three to 56
get business away from the 93
get confused from time to 42
get confused when trying to 207
get entirely away from it 43
get entirely away from the 327
get entirely free from the 52
get everyone away from the 167
get everyone back into the 49
get financial help from the 270
get glimpses from time to 41
get inspired much like the 68
get involved from time to 43
get involved when there is 54
get nowadays from reading to 75
get required work done is 1504
get somebody down there to 44
get somebody over here to 51
get straight back into the 49
get yourself back into the 114
get yourself some kind of 69
goes directly back into the 81
goes straight back into the 125
goes straight down from the 132
goes straight down into the 211
going anywhere down there at 67
going directly away from me 41
going directly away from the 138
going directly away from us 48
going directly from here to 49
going directly from work to 114
going directly home from the 56
going straight away from me 81
going straight away from the 75
going straight back into the 87
going straight down from the 45
going straight down into the 304
going straight from here to 232
going straight from work to 54
going straight home from the 73
got admission into some of 85
got entirely away from the 66
got financial help from the 48
