gaining in 75 gaining in 63
gather it 42 gather to 59
gather it 58 gather it 85
gather in 205 gather be 360
gather be 197 getting of 47
getting the 307 getting in 52
getting in 43 getting of 144
getting in 51 given be 160
given be 92 given be 44
given of 231 gives be 177
gives be 47 gives to 70
goods to 80 goods be 40
grain the 58 grain as 153
grain to 89 grain be 145
grain as 132 grain to 41
grain be 43 grand in 60
grand the 43 grant to 160
green be 47 gross be 70
gross be 79 group be 99
group be 163 group be 50
group as 48 group be 51
group be 89 group be 241
group be 113 group of 43
growing of 250 growing of 59
growing of 158 growing of 44
growing is 74 growth of 89
guiding the 92 guiding be 125
guiding of 42 guiding the 73
guiding in 60 guiding in 157
guiding be 228 guiding be 95
