galaxies when 71 gallants shew 60
galloped hill 57 galloped over 49
galloped these 40 galoshes feet 48
galoshes feet 92 gangsters city 59
garments wearing 96 garments away 68
garments were 52 garments city 62
garments their 60 garrison there 174
garrison city 81 garrison city 127
garrison their 151 gasoline fuel 56
gauntlet navy 92 gauntlet hand 157
generals their 40 generous been 77
generous been 43 geniuses have 117
genocide acts 72 geography city 183
gestures were 43 gladness felt 158
gladness gave 47 gladness soil 81
glimpses time 44 glimpses time 116
glimpses life 75 glimpses life 92
glimpses during 48 glimpses time 59
glistening eyes 50 glistening when 44
glistening coat 48 glistening eyes 40
glittering eyes 47 glittering eyes 152
glittering hand 50 gloomily hand 53
glowered from 105 glowered like 42
glowered over 43 goodness fool 65
goodness been 69 goodness back 54
goodness been 69 goodness kept 75
goodness whom 44 goodness work 84
goodness have 42 goodness made 141
goodness must 42 goodness will 158
goodness having 111 goodness upon 144
goodness young 71 governed been 193
governed hand 42 governed laws 70
governed rule 45 governed rule 46
governed most 76 governed must 48
governed were 81 governed years 64
governed ages 105 governor city 41
governor also 59 governor city 49
governor during 276 governor fell 45
governor four 77 governor from 1249
governor gave 49 governor have 156
governor made 120 governor over 59
governor sent 63 governor were 146
governor when 213 governor during 41
governor form 52 graceful poems 79
gradation from 48 graduate city 124
graffiti city 154 grandest seen 45
grandeur arch 50 graphics were 55
grateful able 67 grateful come 42
grateful give 237 grateful have 98
grateful help 74 grateful keep 71
grateful look 56 grateful make 50
grateful send 240 grateful take 120
grateful tell 129 grateful from 182
gratifying have 49 gratifying been 61
gratuity from 40 greatness among 59
greatness dire 70 greatness ever 82
greatness were 41 greatness city 100
greatness brings 98 grievous having 53
guaranty faith 50 guardians land 122
guidance city 99 guidance will 49
