gaining control 110 gaining control 266
gains control 47 gains capital 64
games sundays 52 gamut complex 87
gases furnace 47 gases turbine 159
gates sundown 162 gates prevent 123
gates sundown 90 gates receive 230
gaunt against 40 genes offspring 315
genial painted 137 getting college 83
gifts friends 77 girls sixteen 324
girls country 50 girls thirteen 74
girls present 45 girls thirteen 47
girls fifteen 299 girls sixteen 378
girls thirteen 93 girls village 40
girls elderly 100 given consent 68
given prevent 45 given alcohol 68
given cocaine 67 given official 116
given official 217 given restore 73
given believe 41 given reviewing 54
given beginning 40 given patient 100
given general 50 given jealousy 68
given courage 43 given success 51
given marriage 85 given religion 77
given pleasure 88 given control 85
given freedom 176 given control 160
given assessing 48 given courage 50
given himself 43 given shelter 80
given exceeds 41 given pilgrim 47
given control 64 given control 74
given student 85 given returns 123
gives conduct 76 gives extreme 60
gives extreme 49 gives surmise 87
gives control 69 gives gladden 53
glass counter 40 glass painted 71
glass orifice 59 glass affixed 45
glass diameter 526 glass stopper 106
glass purpose 84 gleaming thickets 70
globe thailand 61 globe diameter 46
goals follows 49 goods product 206
goods buffalo 48 goods america 97
goods country 132 goods exchange 45
goods america 54 goods increasing 656
goods society 55 goods foreign 50
goods america 52 goods compete 40
grading classes 47 grain america 139
grant license 85 grave husband 150
green harvest 59 green windows 71
group increase 67 group benefit 474
group develop 215 group receive 106
group respond 58 group succeed 68
group support 62 group limited 58
group follows 50 growing provide 141
growing support 71 growing fifteen 56
grows tissues 90 grows fifteen 47
grows becomes 41 growth complex 47
growth decline 123 growth decrease 89
growth dilution 49 growth sustain 43
growth decline 42 guard wounded 106
guard closely 87 guess present 187
guide support 167 guide catheter 51
