gain normally 48 gaming interest 75
gaming machines 243 gave delivery 63
gave execution 151 gave immediate 148
gave decisions 55 gave infernal 76
gets confused 50 give detailed 53
give decisions 172 give immediate 168
give reception 46 give decisions 3527
give judgment 45 give positions 51
give selection 60 give verdicts 65
give decisions 265 give selection 376
giving decisions 51 giving questions 46
giving decisions 95 giving decisions 125
glen messages 42 gone education 72
gone followed 46 gone agreeable 61
gone articles 45 good obtained 78
good frequent 43 good examples 121
good migration 170 good children 41
good children 47 good children 62
good boldness 220 good produced 98
good purposes 428 good purposes 940
good purposes 131 good declined 61
good children 393 good daughter 293
good purposes 171 good children 49
good daughter 173 good purposes 109
good education 66 good property 54
good educated 279 good husbands 50
good lordship 45 good children 115
good assertion 67 good chambers 69
good products 167 good proposed 89
good children 121 good children 77
good politics 42 good citizens 45
good mistaken 59 good ladyship 61
good boroughs 41 good politics 143
good products 63 good products 220
good spellers 67 good initially 45
good attention 75 good romances 75
good attitude 73 good decisions 74
good condition 75 good silenced 41
good achieved 100 good obtained 179
good children 176 good boldness 66
good obtained 83 good personal 98
great silently 454 great effected 83
great affected 42 great happened 80
great occurred 883 great children 54
great backward 41 great exertions 55
great articles 46 great services 50
great products 83 great services 393
great articles 85 great products 81
great produced 71 great produced 82
great expended 45 great directed 76
great expended 401 great invested 57
great befallen 99 great happened 111
great occurred 128 great authority 46
great suffered 49 great services 84
great attempts 43 great equipped 44
great attained 71 great alliances 41
great bestowed 42 great effected 42
great affection 43 great affection 74
great surprise 46 great afforded 42
great wherewith 58 great attained 103
great obtained 45 great produced 57
great occupied 44 great services 155
great promised 58 great currents 65
great humanity 65 great prisoner 66
great attached 85 grew numerous 52
grew powerful 84 grew frequent 73
grew insolent 62 grew numerous 43
grew powerful 136 grew distinct 68
grew intimate 46 grew shrunken 77
grew profound 52 grew troubled 227
grew progress 42 grew beautiful 54
grew brilliant 59 grew distinct 141
grew eloquent 116 grew frequent 143
grew luminous 48 grew numerous 329
grew powerful 355 grew animated 63
grew distinct 483 grew emphatic 40
grew frenzied 62 grew frequent 495
grew numerous 61 grew strident 75
grew vehement 40 grew populous 40
grew powerful 351 grew desolate 101
grew beautiful 55 grow powerful 64
grow supplies 92 grow dangerous 45
grow beautiful 51 grow distinct 58
grow numerous 221 grow powerful 246
grow frequent 45 grow luxurious 50
