gain of 40 gain to 214
garb of 45 gave to 40
gave to 83 gave the 55
gave the 87 gave of 100
gave to 115 gave to 52
gave to 45 gave to 45
gave of 69 gave of 68
gave of 50 gave to 70
gave to 469 gave to 48
gaze of 70 gaze the 44
gene the 87 gene as 218
gene is 47 gene by 46
gene to 252 gene to 102
gene to 165 gets is 40
gilt to 67 give to 111
give of 99 give to 97
give of 99 give to 357
give to 288 give to 99
give of 465 give in 60
give of 89 give to 275
give of 134 give to 203
give to 73 give of 94
give of 537 give of 127
give to 76 give of 182
give to 55 give of 83
give to 159 give of 67
give of 180 give of 125
give of 47 give or 67
give in 126 give the 49
give to 55 give to 715
give of 64 giving to 124
giving to 77 giving of 50
giving of 68 giving to 53
giving to 55 giving of 66
giving of 56 giving to 46
giving of 65 giving to 138
giving of 43 giving in 57
gold of 83 good the 53
good or 48 good by 44
good is 40 good on 463
good on 139 good of 50
good in 41 good in 42
good is 200 good of 41
good in 142 good in 60
good he 43 good it 59
good or 349 good the 415
good in 278 good of 42
good an 43 good it 40
good or 264 good the 282
good to 147 good of 55
good as 55 good is 392
good or 163 good to 58
good is 78 good or 74
good is 58 good he 41
good in 64 good or 103
good the 51 good in 100
good is 180 good in 184
good is 182 good in 49
good of 46 good the 70
great the 46 great it 48
great the 64 great of 53
great or 110 great it 41
great up 61 great on 132
great the 60 great the 82
great to 192 great the 42
great the 53 great the 125
great by 409 great in 229
great to 88 great the 411
great us 67 great the 40
great the 185 great to 53
great on 48 great the 76
great the 260 great us 116
great the 185 great the 55
great the 62 great the 86
great of 54 great the 45
great the 43 great the 41
great up 73 great us 109
great by 118 great to 46
great of 55 great in 53
great to 65 great of 80
great the 171 great is 65
great in 56 great or 135
great is 46 great of 41
great the 79 great to 41
great on 55 great of 76
great the 270 great to 61
great the 55 great to 47
great the 233 great to 47
great of 68 great to 123
great of 55 great as 4662
great in 779 great is 99
great on 972 great in 58
great of 45 great in 95
great on 76 great of 48
great the 41 great to 60
great the 63 great is 106
great of 82 great of 157
great up 69 great the 76
great me 54 great the 155
great the 46 great the 82
great the 40 great the 58
great to 48 great the 137
great the 86 great the 136
great up 41 great of 148
great in 42 great in 52
great or 64 great the 53
great the 97 great the 45
great the 48 great to 55
great at 44 great in 60
great in 152 great of 44
great as 49 great the 64
great is 51 great on 116
great as 145 great in 125
great by 69 great to 89
great the 52 great the 42
great to 65 great in 48
great in 74 great the 96
great as 67 great the 53
great in 129 great of 54
great to 103 great on 97
great on 50 great of 53
great of 54 great the 51
great to 85 great as 87
great to 45 great the 57
great it 40 great the 63
great to 62 grew to 96
grew of 47 grim of 51
grin of 77 grit the 102
grow by 89 grow of 51
