gay bathing place covered with 108
get along quite happily with 107
get from looking steadily and 51
get home after finishing his 40
get into close contact with 463
get into heaven because they 46
get into legal trouble for 63
get into right relation with 85
get into worse trouble than 97
get just about everything you 51
get more money because they 48
get some fresh buffalo meat 42
get some money together and 156
get some money together for 103
get some people together and 126
get some sleep tonight and 57
get their lives together and 91
get their mouths stopped with 80
get these people together and 50
get your block knocked off 123
get your cargo released for 47
get your people together and 102
get your stuff together and 176
goes into solid solution with 65
got along quite happily and 70
got into close contact with 113
got into worse trouble than 44
got just about everything you 68
got some money together and 117
got their wires crossed and 68
got very upset because they 42
