gap which lay between the 56
gas phase with respect to 57
gas pools are present in 133
gas which has entered the 88
gay males and lesbians in 79
gay males and lesbians to 53
gay people are perhaps in 40
get above his pursuit in 57
get action and persons to 147
get hanged for battering the 40
get people all stirred up 94
get round this problem by 591
get round this problem in 46
get round this problem is 136
get round this problem the 62
get russia and germany at 50
get under way because of 88
going about his affairs in 54
got about ten minutes to 157
got about ten seconds to 94
got about two minutes to 99
got about two seconds to 61
got bored and decided to 400
got bored and started to 78
got drunk and decided to 179
got drunk and refused to 59
got drunk and started to 119
got hungry and decided to 72
got lucky and managed to 78
got older and started to 128
got round this problem by 177
got smart and decided to 67
got tired and decided to 197
got under way against the 43
got under way because of 55
got under way between the 167
got under way following the 83
got under way towards the 77
got upset and started to 59
got within its shelter the 123
got within ten degrees of 54
gum trade was carried on 45
gun again and pointed it 50
gun drawn and pointed at 95
gun which had belonged to 227
gun which was mounted on 73
