gallery of modern art and 65
gallons of diesel oil and 71
gallons of diesel oil per 67
gallons of ethanol per year 381
gallons of petrol and oil 45
gallons of sewage per day 1627
gallons of sewage per head 120
gardens to supply them with 68
gateway to africa and asia 56
gathered to itself all that 50
gathered us around her and 40
gathered us around him and 57
gaudily the moment she had 62
general by pointing out that 152
general by something they had 41
general in europe and his 48
general in europe who had 74
general in nature and are 580
general in nature and can 903
general in nature and did 110
general in nature and does 142
general in nature and has 45
general in nature and may 390
general in nature and not 864
general in nature and that 320
general in nature and thus 101
general in nature and was 45
general in nature but are 347
general in nature that they 122
general in reward for his 48
general is better than two 1102
general is greater than that 164
general is higher than that 66
general it appears that for 40
general it appears that they 70
general it appears that this 57
general of police and his 47
general or special act with 80
general or special law for 181
general the english law does 44
general the feelings that are 167
general the moment they are 50
general to inform him that 88
generic in nature and are 111
generic in nature and can 145
generic in nature and does 67
generic in nature and may 45
generic in nature and not 62
genetic in origin and are 45
genetic in origin and that 61
gentler in degree than that 41
genuine in spirit and not 66
gesture of assent with her 83
gesture of assent with his 69
gesture of blessing with his 80
gesture of greeting with his 53
gesture of someone who has 47
ghettos of boston and new 100
glacier to deepen its bed 52
glanced at almost any one 109
glanced at michael and saw 65
glasses of fluids each day 97
glasses of fluids per day 117
glasses of liquid each day 134
glasses of liquid per day 120
glimmer of something that was 62
glimpse of something that had 52
glimpse of something that was 147
glories of nature and art 96
glottis is closed and then 53
glucose by muscle and fat 200
glucose is greater than that 51
goddess of wisdom and war 579
goddess to inform them how 51
goddess to reward them with 43
goodbye to someone who has 100
governing the creation and use 50
grabbed my camera and ran 50
grabbed my camera bag and 55
grabbed my clothes and ran 112
grabbed my duffel bag and 102
grabbed my jacket and ran 69
grabbed my sleeping bag and 71
grabbed the basket and ran 42
grabbed the bucket and ran 46
grabbed the coffee pot and 94
grabbed the duffel bag and 87
grabbed the handle with both 101
grabbed the little boy and 89
grabbed the nearest one and 56
grabbed the paddle and set 80
grabbed the remote and hit 49
grabbed the shopping bag and 56
grammar of english and its 44
grammar of english does not 116
grammar of thought does not 40
grammes of silver per ton 64
granted in return for his 43
granted in return for them 54
granted to anyone who had 66
granted to anyone who has 175
granted to anyone who was 42
granted to carlos was that 48
granted to someone who has 42
grantee to assume and pay 46
grapple of armies that was 41
grasped by anyone who has 77
grasped it firmly with both 46
grasped it firmly with his 52
grasped the handle with both 119
grasped the thunder for his 41
grasses by cropping them too 135
gratify the desire she had 54
gratify the public with any 58
gratify the vanity you had 111
gravity be greater than that 44
gravity is greater than that 1689
gravity is higher than that 208
gravity is occult and not 48
gravity so common with him 42
greatest of pities that its 50
greeted me warmly and led 65
greeted me warmly and then 114
greeted us warmly and led 62
grieved to inform you that 279
gripped the hammer that was 53
gripped the handle with both 93
gripped the handle with his 41
gripped the pistol with both 58
gripped the podium with both 51
gripped the saddle with his 46
groaned in anguish that not 55
groaned in spirit and was 279
grounds of belief are not 43
grounds of common law and 155
grounds of excuse for his 42
grounds of policy and not 81
grounds of policy for this 43
grounds to assume that they 84
grounds to assume that this 72
grounds to charge him with 49
grounds to expect that they 64
grouped by whether they are 57
growled in unison with him 88
guarded the flanks and rear 51
guessed the reasons for this 56
guessed the secret and got 41
