gas have been found and 61
gas used during world war 73
gas well from which gas 103
get along more easily with 133
get among those white men 338
get angry when people say 51
get away among white men 47
get away from anything that 352
get away from books and 60
get away from crime and 57
get away from danger and 44
get away from drugs and 51
get away from every one 150
get away from feeling that 96
get away from music and 92
get away from noise and 77
get away from others and 53
get away from paris and 121
get away from paris for 101
get away from people and 616
get away from people for 115
get away from people who 365
get away from thinking that 173
get away from where she 70
get away from where they 175
get away from where you 113
get away from women and 46
get away from words and 42
get away till after they 54
get back among trees and 41
get back here right now 194
get back into action and 50
get back into power and 75
get back into shape and 150
get back into shape for 83
get back into touch with 169
get back more money than 53
get back their bloom and 58
get back their lands and 93
get back their money and 40
get done what needs doing 57
get down here right now 195
get down there right now 144
get even more upset than 44
get help from others and 74
get help from others who 69
get help from people who 128
get home till after one 59
get into deep water and 92
get into just about any 58
get into their boats and 130
get into their canoes and 115
get into their hands all 97
get into their hands and 120
get into their hands now 112
get into their holes and 105
get into their minds and 62
get into their world and 50
get into their world that 118
get into your blood and 191
get into your brain and 60
get into your hands any 52
get into your hands not 43
get into your house and 98
get into your place and 40
get jobs more easily than 52
get more into touch with 90
get much from others are 97
get much more basic than 129
get much more money for 53
get much more money than 67
get over here right now 391
get over here right this 43
get over there right now 162
get paid good money for 62
get ready their necks for 86
get rich must spend his 53
get sick less often and 84
get sick less often than 79
get sick more often and 151
get sick more often than 350
get some cold water and 81
get some data which may 133
get some good crops both 46
get some good fresh air 65
get some good sport out 102
get some ideas about how 338
get some more money and 85
get some more money for 129
get some more money out 366
get some more sleep and 71
get some more water and 59
get some more water for 45
get some nice fresh air 60
get some rest while she 41
get some rest while they 46
get some rest while you 156
get some time alone with 234
get some warm water and 112
get their fair share and 49
get their feet under them 146
get their heads blown off 592
get their ideas about how 103
get their legs under them 52
get their wits about them 69
get there from where you 127
get very good value for 71
get very high marks for 40
get your damn hands off 101
get your feet under you 153
get your heads blown off 42
get your heart pumping and 139
get your heart right with 63
get your ideas about how 54
get your legs blown off 60
get your legs under you 78
get your life right with 73
get your wish after all 61
get your wits about you 125
goes away during sleep and 70
goes back like every one 41
goes down your throat and 53
going along fine until one 45
going back there right now 48
going back there under his 40
going down into egypt and 52
going down into egypt for 48
going down into egypt with 76
going down there every day 44
going down there right now 247
going into their homes and 61
going into their midst and 50
going into their senior year 45
going into town every day 45
going into work every day 60
going over their plans for 53
going over there every day 78
going over there right now 289
going those said miles and 72
got along fine after that 111
got along very badly with 51
got along well after that 53
got away from under his 57
got back from lunch and 90
got back from lunch with 64
got back from meeting with 45
got back from paris and 58
got back from world war 65
got back last night and 178
got even less sleep than 53
got here last night and 191
got hold their minds and 49
got home last night and 260
got into camp about two 40
got into deep water and 295
got into such shape that 59
got into their blood and 71
got into their boats and 301
got into their canoes and 281
got into their coats and 59
got into their hands all 80
got into their minds that 42
got into their ships and 44
got into their truck and 94
got into their wagon and 41
got into your blood and 44
got more from books than 49
got much less sleep than 51
got much more money than 103
got over more easily than 51
got over their shock and 46
got some good reason for 51
got some good stuff for 45
got some ideas about how 111
got some ideas about that 151
got some more money for 50
got some warm water and 56
got their heads blown off 83
got their wits about them 73
got upon their knees and 66
got upon their trail and 101
got very angry about that 44
got very angry about this 52
got very good value for 70
got very much bored with 41
got very much worse and 66
got your legs under you 40
got your wits about you 230
gun fire from front and 115
