gained some small measure of 58
gathers into large stocks or 78
genera most nearly allied to 43
genius were vivid enough to 82
gentle rain which waters my 221
gentle when helen passed by 59
gentle wind blowing through the 48
gladly have aided france in 103
goggling eyes moved slowly up 41
golden thread running through it 64
golden thread running through the 343
granting full civil rights to 129
granting such large tracts of 57
grants were given merely the 42
grassy open place amongst the 83
gratin dish large enough to 78
greater have often fallen in 74
greater part passing through the 57
greatly over short periods of 64
groped among slimy masses of 44
ground into small pieces by 48
ground just large enough to 129
ground upon which courts of 89
ground upon which stands the 117
groups from every corner of 73
groups from gaining access to 165
groups have easier access to 52
groups have equal access to 442
groups have lower levels of 103
groups have varying levels of 51
groups made every effort to 40
groups make every effort to 44
groups were equal before the 49
groups were first formed in 77
groups were given access to 59
groups were large enough to 216
groups were later joined by 42
groups were often forced to 46
groups were small enough to 67
groups were still active in 54
groups were strong enough to 173
groves there still lingered the 53
guarding their boats seemed in 113
guards were either asleep or 56
guards were given orders to 67
guards were under orders to 120
guessing what would happen in 53
guests from every corner of 48
guests were milling around the 58
guests were seated around the 186
guests were sitting around the 71
guests will quite forget to 84
guided their steps toward the 42
