garden that 41 gender not 86
gender they 164 gentle was 44
gentle are 47 gently she 97
gently her 43 gently his 83
gifted not 113 gifted not 99
gladly lay 77 glance who 73
global not 48 global not 108
greater than 52 greater yet 311
greater with 41 greater can 42
greater than 121 greater than 62
greater own 63 greater with 70
greater are 45 greater did 44
greater had 79 greater one 48
greater own 76 greater with 80
greater had 104 greater had 62
greater that 150 greater can 101
greater than 473 greater for 77
greater did 53 greater that 60
greater for 46 greater they 43
greater are 77 greater can 61
greater had 59 greater per 40
greater had 87 greater than 46
greater had 81 greater than 53
greater own 88 greater than 82
greater one 104 greater had 81
greater per 72 greater with 72
greater are 62 greater had 77
greater and 49 greater than 43
greater than 52 greater had 88
greater had 48 greater due 73
greater own 73 greater can 40
greater are 89 greater had 41
greater that 47 greater are 40
greater had 147 greater one 62
greater has 61 greater had 96
greater due 47 greater with 110
greatly and 46 greatly his 63
greatly things 65 greatly now 46
greatly she 70 greatly they 50
greatly are 40 greatly not 72
greatly not 72 greatly for 61
greatly not 57 greatly had 42
greatly had 78 greatly was 40
greatly had 55 greedy and 40
greedy his 49 ground and 120
ground and 41 ground his 70
groups had 81 groups are 49
groups are 83 groups are 55
groups did 42 groups had 217
groups are 114 guides had 44
