gain and later loss of 67
gain and others lose in 56
gain and phase angle of 86
gain and power gain of 64
gain easy entry into the 83
gain her daily bread by 149
gain him entry into the 120
gain his daily bread by 49
gain his entry into the 46
gain one voice among the 111
gain our first view of 67
gain per stage will be 50
gain tax money from the 48
gain that arose prior to 60
gain that comes from the 118
gain that would come to 70
gain them entry into the 74
gain with every step on 76
gale had blown into the 40
gale that swept down the 42
gale that swept from the 42
gale was blowing down the 49
gale was blowing from the 815
gale was blowing over the 59
game and others like it 45
game and would like to 51
game for every kind of 89
game for getting along in 65
game for which there is 88
game that could only be 69
game that dates back to 50
game that gives rise to 42
game that would have to 42
game they would have to 49
game they would like to 103
game two could play at 102
game was given away by 48
game was really worth the 51
game was still worth the 46
game was thrown down in 89
game you might want to 55
game you would like to 72
gangs with names like the 92
gaping and staring upon me 51
gaps that occur among the 87
gaps that still need to 41
gaps with words from the 71
gate and drove into the 62
gate and headed down the 115
gate and leaned over it 57
gate and leaned over to 42
gate and running down the 41
gate and sprang into the 54
gate now opens into the 41
gate she could feel the 61
gate that opens from the 55
gate that opens into the 267
gate that opens onto the 84
gate that opens upon the 63
gate that would keep the 42
gate was blown open by 89
gate was built into the 62
gate was burst open by 81
gate was taken down in 85
gate was thrown open at 100
gate was thrown open by 56
gate was thrown open to 168
gave all power into the 54
gave both sides breath to 50
gave both sides time to 65
gave few signs even of 84
gave her ample time to 242
gave her entry into the 56
gave her every drop of 68
gave her every sort of 53
gave her extra time to 47
gave her folks leave to 53
gave her large sums of 58
gave her power over the 131
gave her right hand to 132
gave her stray ends of 48
gave her whole face an 55
gave her whole heart to 141
gave her whole life to 239
gave her whole mind to 262
gave her whole soul to 104
gave her whole time to 103
gave him after leaving my 54
gave him ample means of 118
gave him ample room to 62
gave him ample time to 839
gave him eight days to 48
gave him eight seats in 163
gave him entry into the 137
gave him every hope of 40
gave him every kind of 75
gave him every sort of 81
gave him every time he 51
gave him every word of 107
gave him extra time to 98
gave him large sums of 228
gave him money from the 41
gave him money when he 203
gave him power from on 59
gave him power over me 56
gave him power over the 712
gave him seven bars of 50
gave him seven days to 42
gave him sixty days to 123
gave him small sums of 59
gave him thirty days in 51
gave him thirty days to 103
gave him thirty years of 43
gave him vague ideas of 43
gave him water from my 61
gave him water from the 109
gave him water when he 62
gave his casting vote in 826
gave his casting vote to 144
gave his enemy time to 58
gave his first name as 49
gave his first vote in 75
gave his first work to 150
gave his horse into the 85
gave his horse over to 50
gave his money away to 48
gave his people over to 54
gave his right hand to 377
gave his royal word to 48
gave his spare time to 213
gave his views upon the 121
gave his whole band of 53
gave his whole heart to 408
gave his whole life in 57
gave his whole life to 873
gave his whole mind to 1190
gave his whole self to 82
gave his whole soul to 484
gave his whole time to 1053
gave its fatal name to 59
gave its final form to 88
gave its first form to 62
gave its front page to 62
gave lee ample time to 51
gave one quick look at 123
gave one vault into the 103
gave them ample time to 348
gave them cover from the 42
gave them entry into the 89
gave them every kind of 84
gave them every part of 350
gave them extra time to 68
gave them large sums of 181
gave them names such as 111
gave them power over the 405
gave them seven days to 62
gave them small sums of 42
gave them thirty days to 92
gave them water from the 142
gave this child more of 389
gave you ample time to 40
gaze for hours into the 40
gaze had never left the 45
gaze was drawn back to 489
gaze was fixed upon it 51
gaze was fixed upon me 158
gaze was fixed upon the 1102
gazing with fixed eyes at 67
gears are often used in 45
gene for brown eyes is 406
gene for curly hair on 42
gene for which there is 110
gene for white eyes in 49
gene for white eyes is 125
gene that gives rise to 204
gets her first look at 54
gets her light from the 108
gets his drill ready to 43
gets his first ideas of 79
gets his first look at 164
gets his first pair of 66
gets his first view of 237
gets his money from the 239
gets his power from the 143
gets his water from the 43
gets its color from the 272
gets its force from the 231
gets its funding from the 49
gets its funds from the 94
gets its hooks into the 41
gets its input from the 311
gets its light from the 447
gets its money from the 213
gets its motion from the 88
gets its point from the 59
gets its power from an 93
gets its power from the 993
