gaff both hanging up and 85
gain and loss in this 173
gain and loss is not 88
gain and loss of each 66
gain and loss of heat 885
gain and much to fear 66
gain and nothing at all 103
gain and nothing to fear 165
gain are what we mean 111
gain had come to him 81
gain has come to him 53
gain heat from the sun 97
gain her over to his 129
gain him over to her 86
gain him over to his 413
gain his bread by his 73
gain his living by his 64
gain nor loss of heat 96
gain one look at her 107
gain them over to his 502
gain them over to our 183
gain was made in this 50
gait with loss of arm 86
game and came up with 49
game and come up with 97
game and fish as they 99
game and fish of all 62
game and most of them 45
game and play is that 183
game and play it for 49
game and play it with 118
game and play to win 49
game and seeing if you 85
game and some of its 43
game and what is not 88
game and when it was 45
game are what we mean 45
game can only be won 58
game for five or six 44
game for what it was 178
game had gone on for 189
game had gone on long 180
game had gone on too 44
game has gone on for 98
game has gone on long 147
game that fell to his 49
game that must be won 43
game that went on for 68
game that when it was 41
game too will the one 87
game was held up for 115
game was kept up for 48
game was open to all 59
game was over he sat 44
game was over he was 90
game was trying to lay 40
game with some of his 109
gape and gaze at thee 44
gasp for breath as she 43
gasp for breath as they 122
gasp that rose in her 64
gate and along the path 225
gate and down the long 118
gate and down the path 221
gate and held it for 82
gate and made my way 106
gate and told me that 45
gate and upon the red 85
gate that leads to his 47
gave all three of them 179
gave any clue to his 97
gave any heed to his 74
gave any hint of her 59
gave any hint of his 129
gave any hint of this 48
gave any sign of being 277
gave any sign of fear 44
gave any sign of his 53
gave any sign of this 42
gave each other as they 45
gave each other the eye 145
gave each other the lie 341
gave for taking it was 80
gave her away as she 60
gave her away at her 83
gave her away to her 84
gave her away to his 101
gave her baby up for 189
gave her back the cup 41
gave her back the key 111
gave her back to god 53
gave her back to her 362
gave her back to him 161
gave her body to him 80
gave her face an air 91
gave her five or six 67
gave her five or ten 51
gave her half of his 76
gave her hand to each 184
gave her hand to her 673
gave her hand to him 358
gave her hand to his 96
gave her hand to one 49
gave her hand to sir 171
gave her hand to that 41
gave her hand to this 48
gave her heart to god 346
gave her heart to her 130
gave her heart to him 176
gave her heart to one 75
gave her heart to this 73
gave her life so that 217
gave her life to god 144
gave her life to her 123
gave her life to him 69
gave her love to him 60
gave her maid to her 42
