gave his measure either morally 73
gene for bovine growth hormone 50
gene was placed under control 63
gill and siphon motor neurons 163
girl and myself waiting together 65
girl had fallen under sergeant 48
girl who looked about fifteen 74
girl who looked about sixteen 58
give one another moral support 64
giving him another fifty dollars 79
gold and jewels which adorned 63
gold and silver coins because 71
gold and silver coins current 99
gold and silver legal tenders 133
gold and silver medal winners 97
gold and silver mines carried 42
gold and silver mixed together 111
gold and silver still remaining 61
gold and silver which adorned 108
gold and silver which belonged 56
gone that seemed sheer miracle 122
good for another while remaining 65
good old doctor plume himself 47
great ice sheets which covered 57
grin and before which several 45
gulf that already yawns between 47
