gang or gangs thereof presume 42
gap in wage rates between 43
gap of four months between 60
gap of some weeks between 49
gap of three miles between 47
gap of three months between 55
gap of three weeks between 57
gas in many forms stifled 86
get an early start because 119
get at least thirty minutes 83
get at least thirty thousand 48
get by heart greek grammar 67
get in some grass country 81
get it back under control 289
get me into worse trouble 44
get my anger under control 42
get my life under control 126
get on very badly together 53
get so many people together 117
get the ball under control 81
get the best image quality 52
get the best match between 70
get the best sound quality 62
get the boat under control 157
get the fire under control 519
get the lama under shelter 45
get the other group members 43
get the pain under control 112
get the same error message 147
get the same money profits 79
get the ship under control 58
get the young people together 49
get to know every student 45
get to know people because 53
get to know people outside 100
get to know people quickly 68
get to know staff members 54
get to your point quickly 71
goes by many names including 54
going at full speed towards 56
going to ball games together 47
going to come about because 54
going to come under increasing 48
going to dump forty coolies 46
going to fall apart because 143
going to give music lessons 77
going to have brain surgery 61
going to have fried chicken 136
going to have lunch together 271
going to have major surgery 49
going to hold anything against 43
going to keep house together 43
going to look after himself 66
going to make every attempt 43
going to make people believe 55
going to make quite certain 42
going to send james forward 91
going to send women against 40
going to speak quite frankly 93
going to stop smoking because 57
going to take action against 406
going to take music lessons 91
going to take place because 96
going to take place between 350
going to take place outside 48
going to take place shortly 74
going to take place tonight 111
going to talk about everything 155
going to talk about herself 67
going to talk about himself 56
going to talk about improving 46
going to talk about marriage 60
going to talk about religion 84
going to talk about tonight 363
going to tell about senator 42
going to tell george willard 44
going to treat helen exactly 50
going to wait until tonight 113
going to work today because 44
going to your local library 105
got an early start because 40
got in their first harvest 168
got it back under control 175
got on very badly together 85
got the boat under control 47
got the fire under control 864
got the same nasty tempers 137
got the ship under control 48
got to look after herself 105
got to look after himself 149
got to make people believe 40
gun or other weapon against 80
guy to keep under control 76
