gambler who has staked his 124
garment bag and pulled out 50
gathered all her strength and 307
gathered all his forces and 136
gathered all his forces for 85
gathered all his strength and 532
gathered all his strength for 94
gathered all its strength and 43
gathered his men around him 311
gathered his team around him 101
gathered them all around him 46
gathered them and placed them 59
general act was passed for 48
general and his troops had 54
general and not merely for 114
general cry was raised for 66
general did not realize that 48
general law was passed for 49
general nod and slipping out 79
general one can assume that 121
general one may assume that 115
general one may expect that 48
general that they should not 71
general they are treated and 52
general war had broken out 161
general was doing something that 95
general was not pleased with 125
general was this custom that 122
general who had fought for 166
general who had fought with 270
general who had helped him 97
general who had served with 390
general you may notice that 133
genuine was her regard for 48
gesture was not without its 41
giraffe with that charming nil 89
glanced her eye around her 45
glanced his eye slowly and 56
glanced off and killed one 64
glanced out her window and 104
glanced out his window and 105
glances with one another and 70
glasses and two chairs and 54
glasses off and cleaned them 90
glasses off and placed them 41
glasses off and rubbed her 71
glasses off and rubbed his 192
glasses off and rubbed them 51
glasses off and tossed them 43
glasses that hung around her 51
glasses thus are placed one 57
governs all our actions and 100
governs him far better than 41
governs his own little orb 69
grabbed both her wrists and 123
grabbed her and forced her 265
grabbed her and hauled her 248
grabbed her and helped her 57
grabbed her and hugged her 766
grabbed her and jerked her 116
grabbed her and kissed her 1665
grabbed her and lifted her 227
grabbed her and picked her 80
grabbed her and pinned her 97
grabbed her and pulled her 2928
grabbed her and pushed her 515
grabbed her and rolled her 63
grabbed her and shoved her 269
grabbed her and tossed her 97
grabbed her and turned her 163
grabbed her and yanked her 220
grabbed her arm before she 477
grabbed him and forced him 187
grabbed him and hauled him 320
grabbed him and helped him 106
grabbed him and hugged him 695
grabbed him and hurled him 51
grabbed him and jerked him 104
grabbed him and killed him 56
grabbed him and kissed him 410
grabbed him and lifted him 180
grabbed him and picked him 51
grabbed him and pinned him 56
grabbed him and pinned his 53
grabbed him and placed him 46
grabbed him and pulled him 2019
grabbed him and pulled his 48
grabbed him and pushed him 415
grabbed him and rolled him 47
grabbed him and rushed him 86
grabbed him and shoved him 330
grabbed him and tossed him 129
grabbed him and turned him 159
grabbed him and yanked him 151
grabbed them and pulled them 142
grabbed them and pushed them 46
grabbed them and shoved them 59
grabbed you and kissed you 48
grabbed you and pulled you 43
gracious and its claims not 370
granted that any person who 55
granted that his readers are 136
granted that his speech was 110
granted that our readers are 74
granted that she missed him 79
granted that they should not 55
grapple with his envious and 50
grapple with things beyond its 110
grasped her and pulled her 99
grasped her arm firmly and 54
grasped him and pulled him 49
gratify his own desire for 59
gratify his own passion for 48
gratify his own vanity and 110
gratify his own vanity than 59
greatest ease and without any 77
greatest man that europe has 45
greatest men that england has 55
greatest poet but always his 135
greeted her with smiles and 85
greeted him and called him 94
greeted him and handed him 45
greeted him and showed him 87
greeted him and thanked him 47
greeted him with cheers and 181
greeted him with kisses and 60
greeted him with shouts and 83
greeted him with smiles and 277
greeted his old friend and 49
greeted his old friend with 114
greeted them and showed them 122
greeted them with cheers and 107
greeted them with shouts and 52
greeted them with smiles and 140
greetings and with prayer for 51
grieved that they should not 40
gripped him and pulled him 74
groaned and was silent for 54
grocery bag and pulled out 70
grooves are then filled with 58
grossly than any person who 83
grounds for her belief that 102
grounds for his arrest and 76
grounds for his belief and 74
grounds for his belief that 794
grounds for his opinion that 122
grounds for its belief that 93
grounds for our belief that 130
grounds for that belief and 41
grounds for this belief are 355
grounds for this opinion are 321
grounds that any person has 76
grounds that his client had 44
grounds that his master had 66
grounds that one should not 137
grounds that she should not 44
grounds that they already had 64
grounds that they should not 242
grumbling and bad temper can 42
guardian for his infant son 76
guessed that his friend was 64
guessed that his remark was 106
gurgles that her sister was 46
