gain fresh 48 gain house 78
gave cross 46 gave could 62
gave would 52 gave could 49
gave would 75 gave would 123
gene known 54 girl would 47
girl father 56 girl would 102
girl quite 83 girl would 64
girl mother 123 give women 43
give money 77 give costs 122
give would 59 give would 454
giving cross 42 giving grave 43
giving shall 64 giving would 93
gold exist 57 gone horse 45
good reign 214 good women 457
good months 45 good could 91
good chief 47 good after 65
good would 40 good easily 74
good sword 46 good money 69
good keeping 92 good spent 53
good nearly 74 good weapon 44
good given 44 good major 44
good china 105 good israel 72
good russia 49 good sides 351
good father 85 good mother 119
good father 198 good mother 131
good peers 55 good people 42
good staff 44 good delhi 45
good sides 89 good shall 47
good would 49 good flock 53
good sheep 131 good flute 76
gray black 40 great father 198
great mother 150 great while 42
great father 359 great mother 470
great games 57 great given 94
great often 72 great women 70
great small 56 great breadth 50
great which 50 great feeling 106
great mother 45 great force 46
great taken 75 great right 68
great father 131 great mates 52
great father 136 great uncle 46
great study 50 great taken 63
great taken 77 great exist 86
great shown 70 great works 87
great seeking 92 great which 49
great taken 42 great lived 123
great guard 104 great taken 52
great taken 41 great which 40
great israel 130 great given 44
great moved 51 great seven 92
grew throne 65 grow stood 41
