gag and wet blanket that 97
gap that had existed for 55
gap that has existed for 140
gap that lay between them 178
gas and oil storage and 88
gas does not combine with 51
gas does not contain any 54
gas for any taxable year 45
gas that was lighter than 61
gay men and lesbians and 1153
gay men and lesbians are 3239
gay men and lesbians but 94
gay men and lesbians can 553
gay men and lesbians did 81
gay men and lesbians does 42
gay men and lesbians for 220
gay men and lesbians had 402
gay men and lesbians has 257
gay men and lesbians may 499
gay men and lesbians not 50
gay men and lesbians out 116
gay men and lesbians than 194
gay men and lesbians that 601
gay men and lesbians use 71
gay men and lesbians was 194
gay men and lesbians who 1793
gay men and lesbians with 393
gear they had brought with 94
gel was then stained with 103
get any real pleasure out 80
get her act together and 227
get her ears pierced and 48
get her head chopped off 121
get her head together and 83
get her things together and 136
get him and brought him 47
get his act together and 448
get his car started and 43
get his head chopped off 457
get his head knocked off 315
get his head together and 76
get his men together and 131
get his things together and 167
get its act together and 470
get off and stretch our 54
get off his bicycle and 81
get off this thundering bed 54
get our act together and 403
get our act together for 47
get our gear together and 101
get our things together and 187
get out and stretch and 70
get out and stretch her 87
get out and stretch his 233
get out and stretch our 412
get that way because they 171
get them all together and 356
get them all together for 127
get them and examine them 59
get this all figured out 97
get you two together for 45
god and his consort are 41
god and his goddess are 59
god that had brought them 57
god who had brought them 142
god who has wrecked this 47
god yet being endowed with 61
goes off and returns with 115
goes out and returns with 513
goes out with friends and 60
goes with her husband and 60
going off his several way 43
going out and returning with 77
going out with friends and 304
going out with friends for 114
going out with married men 93
going with her coaches and 65
going with her husband and 75
going with you because you 44
got all this figured out 87
got for her efforts was 101
got for her trouble was 151
got for his efforts was 224
got for his trouble and 50
got for his trouble was 487
got her act together and 136
got her and brought her 118
got her head chopped off 136
got her job because she 41
got her things together and 149
got him all figured out 82
got him and brought him 174
got him and carried him 58
got his act together and 208
got his eye knocked out 118
got his gear together and 67
got his head chopped off 397
got his head knocked off 216
got his head muffled for 66
got his men mounted and 80
got his men together and 242
got his own consent for 47
got his things together and 225
got its act together and 190
got its head betwixt its 44
got mad and stormed out 56
got off her bicycle and 109
got off his bicycle and 372
got off his machine and 96
got one for himself and 46
got one leg shorter than 74
got our act together and 73
got our gear together and 60
got our things together and 104
got out and carried our 48
got out and motioned for 75
got out and plucked them 53
got out and slammed his 71
got out and started for 261
got out and toweled off 109
got out and watched her 41
got out and watched him 117
got out her compact and 70
got out her crayons and 53
got out his bicycle and 89
got out his glasses and 41
got out his lantern and 49
got out his notepad and 44
got out his shotgun and 104
got out his tobacco and 61
got out his trumpet and 44
got out our matches and 58
got out two glasses and 64
got that all figured out 522
got that one figured out 147
got that way because they 227
got them all together and 244
got them and brought them 176
got things all figured out 52
got this all figured out 333
got this all planned out 59
got you all figured out 87
gun and one machine gun 135
gun with its hickory rod 42
