gain from those whose land 41
game went into extra time 49
gave love such power over 113
gave over their souls into 74
gave those fine birds what 52
gave what other women gave 59
gilt post will bribe over 58
give forth their forms from 59
give into your hands open 62
give over beating every bush 72
give their ideas about what 115
gods also laid waste their 77
gods have been known from 42
gods having been taken from 46
gods were once human beings 41
gold have been found there 41
gold have been taken from 202
gold have their value from 40
gold reef runs about north 66
gold their slow boots coming 106
gone great ones whose fame 147
gone grow grew grown have 160
gone grow grew grown hide 92
gone grow grew grown know 91
gone much more fully into 78
gone only three miles when 40
gone over time after time 45
good book will never have 63
good guys wore white hats 136
good life must avoid saying 53
good lord have mercy upon 91
good lord only knows what 267
good many airs about these 53
good many hard blows were 42
good many more would have 54
good many other people have 113
good many other people were 121
good many years later when 56
good many young lords went 51
good many young people think 52
good news were never heard 149
good ones take anything from 61
good ship will never sail 41
good south wind still blew 411
good stead years later when 59
good time will never come 48
good when kept within their 105
gray eyes were fixed upon 143
great bags hanging under their 56
great barn till every wasp 49
great city have beaten like 40
great dark eyes fixed upon 45
great dark eyes looking into 51
great eagle will appear over 41
great eyes were fixed upon 54
great good will arise from 58
great hail from heaven fell 83
great hall were thrown open 62
great many good people have 53
great many good people speak 48
great many hard blows pass 71
great many more people have 57
great many more people here 58
great many more people were 72
great many more people will 53
great many more would have 135
great many other people also 51
great many other people have 285
great many other people were 155
great many other people will 43
great many poor people know 59
great many poor people were 60
great many went thither from 60
great many years after their 104
great many young people from 41
great many young people have 96
great many young people were 45
great poets have borne great 46
great poets have often been 58
great root from which grow 159
great tears were rolling down 153
great tears were running down 56
grew even more tense when 41
grew from these seeds were 50
grew over those brown beds 81
guns came into action from 50
guns have been taken away 42
guns have been taken from 44
guns were also taken from 96
guys have been working hard 40
