gave directions also concerning the 69
gave increasingly more attention to 41
gave themselves over entirely to 120
gene expression upon transfer of 54
gene expression were observed in 56
give ourselves over entirely to 74
give themselves more entirely to 48
give themselves over entirely to 190
gods themselves felt troubled at 45
gods themselves were believed to 133
gods themselves were supposed to 43
good christians were expected to 40
good consumers will purchase at 40
good ministers were molested by 43
good scotchmen were exhorted to 102
great character among amateurs in 43
great earthquakes have occurred in 43
great mortality among children of 44
great mysteries were supposed to 122
great qualities were obscured by 87
great revolution been received in 92
great successes were achieved in 83
