gained mexico 43 genius affect 41
gentle raised 40 gently sought 94
golden arouse 57 govern govern 47
greater mansion 53 greater barrel 53
greater greater 72 greater before 76
greater greater 69 greater person 80
greater offering 46 greater agreed 66
greater before 51 greater english 206
greater troops 44 greater person 49
greatly safety 55 greatly little 42
greatly reaches 52 greatly wisdom 47
greatly should 53 groups funded 48
groups another 48 groups another 110
groups another 179 guides astray 104
