gain financial support for his 71
gain immediate dominion for his 51
game programs offered for use 53
gave evidence against him and 72
gave judgment against him for 52
give accurate results for all 43
give evidence against her own 63
give evidence against him and 90
give evidence against his own 101
give evidence against them and 45
give informed consent for any 110
give informed consent for this 43
give judgment against him for 211
give separate figures for each 61
giving informed consent and has 140
giving informed consent that they 123
glow bonfires lighted long ago 46
good argument against its use 43
good citizens because they are 43
good daughter because she had 69
good distance between him and 49
good distance between them and 103
good distance between you and 50
good progress towards that end 46
good relations between east and 96
good relations between her and 51
good relations between him and 238
good relations between his own 46
good relations between man and 87
good relations between men and 87
good relations between our two 764
good relations between them and 319
good relations between you and 98
good soldiers because they are 53
great activity planned for you 82
great american parties with his 40
great clarifying sorrows and its 63
great conflict between east and 87
great conflict between god and 85
great contrast between him and 185
great contrast between them and 88
great contrast between this and 63
great contrast betwixt him and 51
great coolness between him and 49
great courtesy between him and 58
great courtesy between them who 41
great distance between god and 176
great distance between her and 83
great distance between him and 305
great distance between them and 347
great distance between this and 42
great distance between you and 95
great distress because she had 73
great domestic tragedy was now 45
great energies aspires that they 48
great interest because they are 305
great interest because they can 73
great interest because they may 69
great intimacy between him and 203
great military emperor was not 72
great moralist himself was not 88
great pericles himself met with 40
great personal respect for him 57
great personal respect for this 45
great personal triumph for him 114
great personal triumph for you 52
great physical suffering that they 95
great struggle between asia and 46
great struggle between east and 90
great struggle between god and 63
great struggle between him and 108
great visitors imagine that his 100
grim identity between gay things 108
