gain and 173 gale them 71
game all 91 germ they 123
girl but 46 girl her 46
girl than 63 girl him 74
girl had 41 girl with 67
girl him 41 girl was 46
girl was 44 girt was 41
give why 139 glad that 216
gold and 58 gold her 45
gold her 45 gold hung 686
gold was 125 gold all 47
gold and 40 good and 54
good put 40 good him 49
good and 50 good than 43
good with 111 good and 52
good and 76 good they 174
good for 47 good and 96
good with 46 good and 145
good put 65 good out 266
good and 79 good him 61
good than 82 good was 49
good end 41 good our 80
good bad 46 good his 47
great two 48 great its 94
great and 54 great with 82
great they 57 great are 144
great then 44 great they 52
great out 46 great for 120
great for 52 great them 132
great this 45 great that 202
great with 284 great its 126
great are 47 great for 41
great with 44 great that 60
great led 71 great ran 50
great out 96 great with 72
great and 115 great his 64
great they 127 great she 55
