gained was 67 gained not 40
garden you 66 garden and 52
garlic with 95 garlic them 104
genius put 77 genius own 51
gently his 117 gently had 52
gently and 82 gently and 82
gently his 43 gently her 178
gently and 54 gently and 98
gently not 49 gently she 48
gently they 72 gently one 109
gladly all 54 glance saw 184
glance saw 193 glance her 42
glance she 105 glance his 152
glance she 130 glance they 43
glance this 72 glance was 64
glance was 52 glazed with 70
global and 93 gloomy its 90
gotten was 43 grades own 240
grasping for 45 grated with 191
grated out 68 greater own 83
greater for 108 greater had 53
greater that 88 greater can 41
greater than 43 greater are 93
greater than 135 greater his 96
greater due 43 greater had 55
greater man 137 greater one 368
greater any 105 greater his 66
greater men 51 greater any 98
greater that 42 greater any 72
greater yet 65 greater own 84
greater had 64 greater are 749
greater can 101 greater did 331
greater had 426 greater now 74
greater any 114 greater and 43
greater than 96 greater how 57
greater far 46 greater why 63
greater any 46 greater yet 65
greater had 44 greater are 63
greater had 69 greater yet 49
greater had 44 greater now 57
greater own 57 greater than 59
greater than 82 greater man 161
greater one 560 greater that 68
greater yet 101 greater men 58
greater now 41 greater any 142
greater his 155 greater men 63
greater any 143 greater that 185
greater any 137 greater his 54
greater any 64 greater his 49
greater yet 58 greater any 87
greater yet 196 greater own 53
greater and 60 greater are 91
greater own 99 greater had 121
greater was 47 greater for 85
greater are 1485 greater can 191
greater did 765 greater had 828
greater now 308 greater any 251
greater are 63 greater can 68
greater may 56 greater now 47
greater that 83 greater had 58
greater own 61 greater had 76
greater had 87 greater pay 45
greater had 84 greater are 68
greater any 66 greater own 40
greater are 57 greater had 186
greater not 53 greater not 70
greater not 42 greater are 90
greater now 44 greater own 43
greater are 387 greater had 115
greater now 60 greater far 45
greater than 73 greater than 137
greater own 196 greater and 50
greater own 45 greater than 55
greater own 46 greater had 78
greater had 67 greater man 170
greater own 206 greater son 53
greater own 44 greater had 258
greater own 70 greater are 57
greater had 60 greater than 157
greater than 86 greater than 104
greater her 73 greater had 50
greatly who 47 greatly than 47
greatly are 53 greatly that 127
greatly and 52 greatly new 51
greatly and 91 greatly new 135
greatly own 57 greatly zeal 84
greatly and 42 greatly men 133
greatly did 73 groaning bear 114
groped his 50 ground his 49
ground his 77 ground cut 57
ground his 144 ground did 42
ground win 68 ground shoe 54
ground them 118 ground was 84
ground and 357 ground bring 97
groups are 100 groups are 61
groups had 64 groups things 40
